,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2023/10/04,大井,雨,11,東京盃競走(G2),,13,5,7,15.8,5,11,松山弘平,55,ダ1200,不,**,1:12.6,2.6,**,11-10,34.2-35.8,37.4,492(+7),,,ドンフランキー,
1,2023/08/31,佐賀,曇,11,サマーチャンピオン(G3),,12,7,10,3.7,2,2,横山武史,54,ダ1400,良,**,1:26.1,0.5,**,6-6-5-6,0.0-36.1,35.8,485(+3),,,サンライズホーク,960.0
2,2023/07/12,大井,曇,11,ジャパンダートダービ(G1),,11,7,9,29.6,5,9,横山武史,57,ダ2000,良,**,2:07.6,3.0,**,4-3-4-5,34.9-39.4,41.7,482(+4),,,ミックファイア,
3,2023/06/18,3東京6,晴,11,ユニコーンS(G3),,15,1,1,15.2,4,6,Ｍ．デム,56,ダ1600,良,**,1:35.7,0.7,**,12-13,34.6-37.0,36.0,478(-4),,,ペリエール,
4,2023/04/08,3中山5,曇,11,ニュージーランドT(G2),,16,5,9,71.3,12,14,永野猛蔵,56,芝1600,稍,**,1:35.1,1.4,**,9-10-12,35.0-36.0,36.5,482(-2),,,エエヤン,
5,2023/02/19,1東京8,晴,9,ヒヤシンスS(L),,14,5,7,4.4,3,13,横山武史,58,ダ1600,良,**,1:40.1,2.9,**,6-6,34.9-37.2,39.1,484(0),,,ペリエール,
6,2022/12/14,川崎,晴,11,全日本2歳優駿【国際(G1),,14,7,12,3.4,2,2,横山武史,55,ダ1600,稍,**,1:43.3,0.0,**,5-4-4-3,35.6-41.0,40.7,484(-2),,,デルマソトガケ,1470.0
7,2022/11/24,園田,晴,7,兵庫ジュニアグランプ(G2),,12,3,3,3.7,2,1,横山武史,55,ダ1400,重,**,1:29.0,-0.6,**,3-3-3-2,0.0-38.3,37.9,486(+6),,,(スペシャルエックス),3000.0
8,2022/10/01,5中京8,晴,9,ヤマボウシ賞(1勝クラス),,9,5,5,3.5,2,1,松山弘平,55,ダ1400,良,**,1:24.3,-0.3,**,6-5,34.4-37.9,37.2,480(+4),,,(スクーバー),1048.9
9,2022/07/16,1函館11,小雨,11,函館2歳S(G3),,13,2,2,23.0,8,3,横山武史,54,芝1200,稍,**,1:12.0,0.2,**,13-13,34.5-37.3,35.8,476(-8),,,ブトンドール,786.6
10,2022/06/18,1函館3,晴,6,2歳新馬,,8,5,5,3.5,1,1,横山武史,54,ダ1000,良,**,1:00.3,-0.9,**,4-3,37.0-35.6,35.3,484(0),,,(リンデザ),700.0
