,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
2,2015104189,3,3,2018/12/02,7,6,11.0,15,2,1.9,1.0,1,5212,56.0,2,1800,4,110.1,35.6,490,2,0,0,0,0,1,0,0,10336.0
3,2015104189,3,3,2018/10/08,35,6,11.0,14,12,2.1,2.0,1,5212,55.0,2,1600,4,95.3,35.3,488,-2,0,0,0,0,1,0,0,4500.0
4,2015104189,3,3,2018/07/11,44,6,11.0,14,1,2.2,1.0,1,5212,56.0,2,2000,4,125.8,36.5,490,2,1,1,0,0,0,0,0,4500.0
5,2015104189,3,3,2018/06/17,5,5,11.0,16,14,2.3,1.0,1,5212,56.0,2,1600,2,95.0,35.2,488,-8,0,0,0,1,0,0,0,3559.5
6,2015104189,3,3,2018/04/01,6,6,10.0,9,7,1.6,1.0,0,422,57.0,2,1800,4,114.9,36.6,496,10,0,0,0,0,0,0,0,725.8
14,2012104882,2,6,2018/12/02,7,6,11.0,15,12,32.1,8.0,0,1093,57.0,2,1800,4,110.5,34.4,480,-2,0,0,0,0,1,0,0,4096.0
15,2012104882,2,6,2018/11/10,5,6,11.0,16,15,4.1,3.0,0,5470,56.0,2,1600,3,95.6,36.0,482,-2,0,0,0,0,0,0,0,0.0
16,2012104882,2,6,2018/09/29,9,5,11.0,16,16,16.1,7.0,0,1102,55.0,2,2000,1,121.5,35.1,484,2,0,0,0,0,0,0,0,1416.2
17,2012104882,2,6,2018/07/28,10,6,11.0,10,4,2.0,1.0,1,1102,57.0,2,1700,4,103.6,36.1,482,-6,0,0,0,0,0,0,0,1841.7
18,2012104882,2,6,2018/06/24,2,6,12.0,14,14,24.7,6.0,1,1093,57.0,2,1700,4,105.0,35.9,488,6,0,0,0,0,0,0,0,1530.1
4,2014103385,3,4,2018/12/02,7,6,11.0,15,9,8.2,3.0,0,5509,57.0,2,1800,4,110.5,35.9,522,8,0,0,0,0,1,0,0,2548.0
5,2014103385,3,4,2018/11/04,8,6,11.0,16,4,3.2,1.0,0,5339,57.0,2,1900,4,117.0,38.4,514,6,0,0,0,0,1,0,0,2348.6
6,2014103385,3,4,2018/09/29,9,5,11.0,16,14,5.4,3.0,0,5339,57.5,2,2000,1,121.8,36.8,508,2,0,0,0,0,0,0,0,908.1
7,2014103385,3,4,2018/05/19,8,6,11.0,16,9,18.7,7.0,1,5212,57.0,2,1900,3,117.3,37.0,506,4,0,0,0,0,0,0,0,3656.7
8,2014103385,3,4,2018/05/06,5,6,10.0,16,11,2.8,1.0,0,5212,57.0,2,2100,4,133.1,39.4,502,-9,0,0,0,0,0,0,0,0.0
1,2014103365,1,4,2018/12/02,7,6,11.0,15,1,40.1,9.0,0,660,55.0,2,1800,4,110.7,36.5,486,6,0,0,0,0,1,0,0,1500.0
2,2014103365,1,4,2018/11/04,8,6,12.0,16,16,13.1,6.0,1,660,55.0,2,1800,4,110.4,37.3,480,3,0,0,0,0,1,0,0,5340.2
3,2014103365,1,4,2018/10/11,44,5,11.0,14,6,4.8,3.0,0,660,56.0,2,1800,4,114.7,38.1,477,3,1,0,0,0,0,1,1,310.0
4,2014103365,1,4,2018/08/12,1,5,11.0,14,4,17.7,7.0,0,660,55.0,2,1700,2,102.8,37.2,474,7,0,0,0,0,0,0,0,360.0
5,2014103365,1,4,2018/04/11,43,5,11.0,12,7,3.7,2.0,1,660,57.0,2,1600,4,101.2,37.4,467,-2,0,0,0,0,0,0,0,2500.0
18,2015104273,3,3,2018/12/02,7,6,11.0,15,11,9.2,4.0,0,5473,56.0,2,1800,4,111.1,36.0,452,-2,0,0,0,0,1,0,0,1000.0
19,2015104273,3,3,2018/11/04,8,6,11.0,16,14,3.7,2.0,0,1018,55.0,2,1900,4,116.8,36.7,454,4,0,0,0,0,1,0,0,3697.2
20,2015104273,3,3,2018/09/29,9,5,11.0,16,3,4.8,2.0,1,1018,53.0,2,2000,1,121.5,35.9,450,-3,0,0,0,0,0,0,0,3656.7
21,2015104273,3,3,2018/07/11,44,6,11.0,14,14,6.6,4.0,0,1088,56.0,2,2000,4,126.1,37.3,453,7,1,1,0,0,0,0,0,1575.0
22,2015104273,3,3,2018/06/10,9,5,10.0,14,13,2.1,1.0,1,5212,54.0,2,1800,3,112.3,36.3,446,-10,0,0,0,0,0,0,0,1530.8
24,2014106474,3,4,2018/12/02,7,6,11.0,15,7,10.0,5.0,0,5386,57.0,2,1800,4,111.2,35.8,538,4,0,0,0,0,1,0,0,0.0
25,2014106474,3,4,2018/11/10,5,6,11.0,16,4,2.9,1.0,1,5386,56.0,2,1600,3,94.7,34.8,534,0,0,0,0,0,0,0,0,3859.5
26,2014106474,3,4,2018/10/08,5,5,11.0,16,7,1.6,1.0,1,5386,57.0,2,1400,4,83.4,35.4,534,4,0,0,0,0,0,0,0,2238.5
27,2014106474,3,4,2018/06/09,5,6,11.0,16,8,2.1,1.0,1,5386,57.5,2,1600,4,95.3,35.6,530,-6,0,0,0,0,0,0,0,2234.3
28,2014106474,3,4,2018/05/26,5,5,11.0,16,3,1.8,1.0,0,5386,58.0,2,1400,4,84.1,34.4,536,10,0,0,0,0,0,0,0,889.8
20,2012104314,2,6,2018/12/02,7,6,11.0,15,5,13.4,6.0,0,422,57.0,2,1800,4,111.2,35.7,446,0,0,0,0,0,1,0,0,0.0
21,2012104314,2,6,2018/11/04,8,6,11.0,16,9,12.2,5.0,0,422,57.0,2,1900,4,117.1,36.3,446,2,0,0,0,0,1,0,0,1400.0
22,2012104314,2,6,2018/10/08,35,6,11.0,14,1,9.9,3.0,0,422,57.0,2,1600,4,96.7,35.4,444,-11,0,0,0,0,1,0,0,405.0
23,2012104314,2,6,2018/05/02,43,3,11.0,12,12,3.5,3.0,0,422,57.0,2,1600,4,99.6,37.4,455,5,0,0,0,0,1,0,0,600.0
24,2012104314,2,6,2018/02/18,5,6,11.0,16,12,10.7,4.0,1,422,57.0,2,1600,4,96.0,36.1,450,-6,0,0,0,0,1,0,0,10340.2
11,2012101502,3,6,2018/12/02,7,6,11.0,15,13,139.5,12.0,0,1126,57.0,2,1800,4,111.2,36.3,476,4,0,0,0,0,1,0,0,0.0
12,2012101502,3,6,2018/10/02,46,6,11.0,11,6,1.8,1.0,0,1126,55.0,2,2100,3,138.4,42.5,472,0,0,0,0,0,0,0,0,0.0
13,2012101502,3,6,2018/08/12,1,5,11.0,14,3,3.9,1.0,0,1126,57.0,2,1700,2,102.5,35.8,472,-1,0,0,0,0,0,0,0,907.0
