,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
7,2015104273,3,5,2020/12/29,44,6,10.0,16,7,1.3,1.0,1,5212,57.0,2,2000,4,126.9,36.2,457,4,1,0,0,0,1,0,0,8000.0
8,2015104273,3,5,2020/11/03,44,5,10.0,15,1,4.9,2.0,0,5212,57.0,2,2000,3,123.0,37.1,453,1,1,0,0,0,1,0,0,2800.0
9,2015104273,3,5,2020/06/24,44,5,11.0,14,11,2.0,1.0,0,5212,57.0,2,2000,2,125.7,36.5,452,-8,1,0,0,0,1,0,0,2100.0
10,2015104273,3,5,2020/05/23,8,6,11.0,14,5,5.3,3.0,1,1102,59.0,2,1900,4,116.0,35.5,460,9,0,0,0,0,0,0,0,3649.7
11,2015104273,3,4,2019/12/29,44,6,10.0,13,9,2.8,2.0,1,5212,57.0,2,2000,3,124.9,38.1,451,-1,1,0,0,0,1,0,0,8000.0
14,2016104163,3,4,2020/12/29,44,6,10.0,16,14,38.3,9.0,0,5549,57.0,2,2000,4,126.9,36.5,541,-3,1,0,0,0,1,0,0,2800.0
15,2016104163,3,4,2020/12/09,44,5,11.0,16,7,9.9,4.0,1,5549,57.0,2,1800,4,112.1,37.7,544,10,1,0,0,0,0,0,0,2200.0
16,2016104163,3,4,2020/11/12,45,5,11.0,14,5,2.9,1.0,1,5549,57.0,2,2000,4,129.1,38.7,534,-3,0,0,0,0,0,0,0,500.0
17,2016104163,3,4,2020/07/29,44,5,11.0,13,3,5.0,3.0,0,5549,57.0,2,1600,3,100.5,39.6,537,-12,1,0,0,0,0,0,0,0.0
18,2016104163,3,4,2020/06/17,43,6,11.0,12,4,3.4,1.0,1,5549,54.0,2,1600,4,99.2,38.1,549,5,0,0,0,0,0,0,0,1200.0
6,2012104882,2,8,2020/12/29,44,6,10.0,16,9,8.1,3.0,0,1093,57.0,2,2000,4,127.0,36.0,480,0,1,0,0,0,1,0,0,1600.0
7,2012104882,2,8,2020/11/25,42,5,10.0,11,2,4.0,2.0,0,1093,56.0,2,2000,3,126.0,36.1,480,-8,0,0,0,0,0,1,1,700.0
8,2012104882,2,8,2020/08/09,1,5,11.0,14,8,4.2,2.0,0,1093,57.0,2,1700,4,103.7,35.5,488,8,0,0,0,0,0,0,0,1414.6
9,2012104882,2,8,2020/04/19,9,5,11.0,16,8,7.5,3.0,1,1093,56.0,2,1800,3,109.8,35.0,480,-5,0,0,0,0,0,0,0,3656.7
10,2012104882,2,8,2020/03/11,43,6,11.0,14,3,2.6,2.0,0,1088,56.0,2,2400,2,157.0,37.2,485,-3,0,0,0,0,0,1,1,1120.0
21,2014102787,3,6,2020/12/29,44,6,10.0,16,4,84.3,11.0,0,1102,57.0,2,2000,4,127.0,36.0,534,3,1,0,0,0,1,0,0,800.0
22,2014102787,3,6,2020/11/25,42,5,10.0,11,10,11.3,5.0,0,1102,56.0,2,2000,3,126.5,37.5,531,3,0,0,0,0,0,1,1,175.0
23,2014102787,3,6,2020/11/08,9,6,11.0,10,7,7.9,4.0,0,1102,56.0,2,1800,4,110.4,37.6,528,11,0,0,0,0,0,0,0,1510.2
24,2014102787,3,6,2020/09/29,46,6,11.0,12,8,18.0,5.0,0,1057,54.0,2,2100,3,134.7,38.6,517,-6,0,0,0,0,0,0,0,189.0
