,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
7,2019101623,3,3,2022/07/13,44,5,11.0,14,14,5.6,4.0,1,666,56.0,2,2000,1,124.6,38.3,526,9,1,1,0,0,0,0,0,6000.0
8,2019101623,3,3,2022/05/04,50,6,8.0,12,3,3.9,2.0,0,666,56.0,2,1870,4,122.7,39.5,517,9,0,0,0,0,0,1,1,1400.0
9,2019101623,3,3,2022/03/26,6,5,10.0,8,8,4.1,2.0,0,666,56.0,2,1800,3,112.2,37.9,508,-2,0,0,0,0,0,0,0,725.0
10,2019101623,3,3,2022/03/05,9,6,6.0,12,1,2.0,1.0,1,666,56.0,2,1800,4,113.3,38.3,510,-2,0,0,0,0,0,0,0,750.0
11,2019101623,3,3,2022/02/12,9,6,3.0,10,10,1.6,1.0,1,666,56.0,2,1800,4,113.7,37.5,512,4,0,0,0,0,0,0,0,520.0
7,2019104245,3,3,2022/07/13,44,5,11.0,14,7,4.9,3.0,0,1179,56.0,2,2000,1,124.7,38.2,488,6,1,1,0,0,0,0,0,2100.0
8,2019104245,3,3,2022/06/19,5,6,11.0,15,5,20.1,7.0,1,1179,56.0,2,1600,4,95.2,36.4,482,2,0,0,0,1,0,0,0,3753.9
9,2019104245,3,3,2022/05/15,5,5,10.0,13,8,4.5,2.0,0,1179,56.0,2,1600,3,95.9,36.7,480,-2,0,0,0,0,0,0,0,180.0
10,2019104245,3,3,2022/04/17,6,6,5.0,13,11,4.0,3.0,1,1179,56.0,2,1800,3,112.1,37.8,482,0,0,0,0,0,0,0,0,750.0
11,2019104245,3,3,2022/03/26,6,5,10.0,8,2,242.3,8.0,0,1127,56.0,2,1800,3,112.2,38.1,482,-6,0,0,0,0,0,0,0,452.5
4,2019104194,3,3,2022/07/13,44,5,11.0,14,6,3.0,1.0,0,1032,56.0,2,2000,1,124.8,38.6,464,5,1,1,0,0,0,0,0,1200.0
