,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
15,2010106548,3,5,2015/11/03,44,6,10.0,16,15,6.2,3,1,666,57,2,2000,1,124.4,37.0,524,0,1,0,0,0,1,0,0,8000.0
16,2010106548,3,5,2015/10/07,43,6,11.0,12,3,1.6,1,0,666,58,2,1800,4,112.2,40.1,524,-12,0,0,0,0,0,1,1,640.0
17,2010106548,3,5,2015/02/22,5,5,11.0,16,4,2.1,1,1,666,57,2,1600,4,96.3,36.2,536,-2,0,0,0,0,1,0,0,9744.4
18,2010106548,3,5,2015/01/25,7,6,11.0,14,6,2.5,1,1,666,58,2,1800,4,110.9,37.5,538,11,0,0,0,0,0,1,1,5400.8
19,2010106548,3,4,2014/12/29,44,5,10.0,16,7,4.1,2,0,1075,57,2,2000,2,123.8,37.8,527,-9,1,0,0,0,1,0,0,2450.0
38,2010102446,2,5,2015/11/03,44,6,10.0,16,5,8.8,4.0,0,1096,57.0,2,2000,1,124.9,36.7,474,3,1,0,0,0,1,0,0,2800.0
39,2010102446,2,5,2015/10/07,43,6,11.0,12,7,9.5,3.0,1,1096,56.0,2,1800,4,110.2,37.2,471,-5,0,0,0,0,0,1,1,3200.0
40,2010102446,2,5,2015/07/19,7,5,11.0,14,10,7.2,5.0,1,1096,56.0,2,1800,3,111.6,37.2,476,0,0,0,0,0,0,0,0,2129.4
41,2010102446,2,5,2015/06/13,5,5,11.0,16,15,3.9,1.0,0,1096,54.0,2,1600,4,96.3,35.7,476,0,0,0,0,0,0,0,0,0.0
42,2010102446,2,5,2015/05/23,8,5,11.0,16,5,54.1,12.0,0,1096,56.0,2,1900,4,115.7,36.3,476,0,0,0,0,0,0,0,0,0.0
6,2009100921,3,6,2015/11/03,44,6,10.0,16,10,1.4,1,0,732,57,2,2000,1,125.0,37.4,502,0,1,0,0,0,1,0,0,1600.0
7,2009100921,3,6,2015/06/24,44,6,11.0,12,1,1.5,1,1,732,57,2,2000,4,122.7,38.6,502,0,1,0,0,0,1,0,0,6000.0
8,2009100921,3,6,2015/01/28,45,6,11.0,12,5,1.0,1,1,732,57,2,2100,2,136.9,39.4,507,6,0,0,0,0,1,0,0,6000.0
9,2009100921,3,5,2014/12/29,44,5,10.0,16,6,1.7,1,1,732,57,2,2000,2,123.0,36.9,501,-7,1,0,0,0,1,0,0,7000.0
10,2009100921,3,5,2014/12/07,7,6,11.0,16,8,5.9,2,1,732,57,2,1800,4,111.0,36.4,508,2,0,0,0,0,1,0,0,9740.2
12,2010104098,3,5,2015/11/03,44,6,10.0,16,1,5.2,2,0,1088,57,2,2000,1,125.2,37.5,497,-3,1,0,0,0,1,0,0,800.0
13,2010104098,3,5,2015/10/07,43,6,11.0,12,6,2.0,2,0,1088,57,2,1800,4,110.8,38.6,500,7,0,0,0,0,0,1,1,1120.0
14,2010104098,3,5,2015/06/24,44,6,11.0,12,5,8.0,4,0,666,57,2,2000,4,122.9,38.9,493,1,1,0,0,0,1,0,0,2100.0
15,2010104098,3,5,2015/05/05,43,6,11.0,10,5,3.7,3,0,666,57,2,1600,4,98.8,38.4,492,-2,0,0,0,0,1,0,0,600.0
16,2010104098,3,5,2015/03/11,43,6,11.0,12,4,2.8,2,1,666,56,2,2400,1,153.6,39.5,494,11,0,0,0,0,0,1,1,3200.0
17,2011102947,3,4,2015/11/03,44,6,10.0,16,13,25.8,5,0,5212,57,2,2000,1,125.2,37.3,531,5,1,0,0,0,1,0,0,400.0
18,2011102947,3,4,2015/10/12,35,5,11.0,15,13,6.6,3,0,5089,57,2,1600,3,98.0,39.2,526,2,0,0,0,0,1,0,0,0.0
19,2011102947,3,4,2015/06/24,44,6,11.0,12,9,19.2,5,0,5089,57,2,2000,4,123.4,38.8,524,-1,1,0,0,0,1,0,0,1200.0
20,2011102947,3,4,2015/05/05,43,6,11.0,10,6,19.8,5,0,5089,57,2,1600,4,97.9,37.7,525,-1,0,0,0,0,1,0,0,1200.0
21,2011102947,3,4,2015/02/22,5,5,11.0,16,6,27.9,8,0,5299,57,2,1600,4,96.9,36.2,526,0,0,0,0,0,1,0,0,0.0
21,2009105650,2,6,2015/11/03,44,6,10.0,16,4,46.6,6.0,0,5386,57.0,2,2000,1,125.6,37.7,539,-4,1,0,0,0,1,0,0,0.0
22,2009105650,2,6,2015/09/16,44,3,11.0,16,6,2.1,1.0,0,5342,59.0,2,2400,4,155.0,39.4,543,-2,1,0,0,0,0,0,0,770.0
23,2009105650,2,6,2015/07/20,35,5,9.0,14,14,27.2,6.0,1,5299,54.0,2,2000,4,127.8,38.2,545,-3,0,0,0,0,0,0,0,2300.0
24,2009105650,2,6,2015/06/24,44,6,11.0,12,7,148.2,7.0,0,5299,57.0,2,2000,4,124.3,38.3,548,0,1,0,0,0,1,0,0,600.0
25,2009105650,2,6,2015/05/20,44,6,11.0,15,2,13.2,5.0,0,5299,57.0,2,2000,4,126.1,38.9,548,3,1,0,0,0,0,0,0,770.0
7,2008101041,3,7,2015/11/03,44,6,10.0,16,14,319.9,9,0,5352,57,2,2000,1,126.3,38.3,558,-5,1,0,0,0,1,0,0,0.0
8,2008101041,3,7,2015/10/07,43,6,11.0,12,2,45.6,4,0,5352,57,2,1800,4,113.3,40.5,563,13,0,0,0,0,0,1,1,160.0
9,2008101041,3,7,2015/04/18,9,6,11.0,16,10,94.4,12,0,1034,58,2,1800,4,122.6,48.1,550,-9,0,0,0,0,0,0,0,0.0
10,2008101041,3,7,2015/03/11,43,6,11.0,12,2,2.6,1,0,5352,56,2,2400,1,155.4,40.9,559,0,0,0,0,0,0,1,1,0.0
11,2008101041,3,7,2015/01/28,45,6,11.0,12,10,24.9,6,0,5352,57,2,2100,2,137.3,40.1,559,1,0,0,0,0,1,0,0,1200.0
2,2007100191,3,8,2015/11/03,44,6,10.0,16,8,90.5,7,0,1034,57,2,2000,1,126.6,38.4,534,-4,1,0,0,0,1,0,0,0.0
3,2007100191,3,8,2015/10/03,9,6,11.0,12,4,23.3,8,0,1034,58.5,2,2000,3,125.6,38.0,538,18,0,0,0,0,0,0,0,0.0
4,2007100191,3,8,2015/06/24,44,6,11.0,12,10,52.0,6,0,1034,57,2,2000,4,124.4,40.0,520,-2,1,0,0,0,1,0,0,300.0
5,2007100191,3,8,2015/05/23,8,5,11.0,16,7,42.8,11,0,1034,58,2,1900,4,115.9,37.1,522,-18,0,0,0,0,0,0,0,0.0
6,2007100191,3,8,2015/01/25,7,6,11.0,14,5,17.3,5,0,1018,57,2,1800,4,112.9,39.5,540,-7,0,0,0,0,0,1,1,0.0
6,2010104012,3,5,2015/11/03,44,6,10.0,16,16,915.2,14,0,5380,57,2,2000,1,126.8,38.2,516,-7,1,0,0,0,1,0,0,0.0
7,2010104012,3,5,2015/09/16,44,3,11.0,16,10,10.8,4,0,5380,58,2,2400,4,156.3,40.5,523,10,1,0,0,0,0,0,0,0.0
8,2010104012,3,5,2015/05/20,44,6,11.0,15,6,19.2,6,0,5074,57,2,2000,4,130.0,43.0,513,-2,1,0,0,0,0,0,0,0.0
9,2010104012,3,5,2015/03/11,43,6,11.0,12,8,44.3,7,0,426,56,2,2400,1,159.6,45.4,515,-5,0,0,0,0,0,1,1,0.0
10,2010104012,3,5,2015/02/04,44,6,11.0,16,3,40.7,8,1,5404,56,2,2600,4,168.6,38.2,520,-1,1,0,0,0,0,0,0,2200.0
4,2007103864,3,8,2015/11/03,44,6,10.0,16,12,295.7,8,0,1092,57,2,2000,1,127.5,39.3,500,20,1,0,0,0,1,0,0,0.0
5,2007103864,3,8,2015/10/03,9,6,11.0,12,11,88.5,11,0,1092,58.0,2,2000,3,127.0,39.8,480,0,0,0,0,0,0,0,0,0.0
6,2007103864,3,8,2015/05/23,8,5,11.0,16,6,133.1,15,0,1092,56,2,1900,4,116.5,37.1,480,-10,0,0,0,0,0,0,0,0.0
7,2007103864,3,8,2015/01/25,7,6,11.0,14,13,46.0,9,0,1092,56,2,1800,4,111.6,37.5,490,-8,0,0,0,0,0,1,1,2128.8
8,2007103864,3,7,2014/12/27,6,6,11.0,13,3,8.3,4,0,1092,58,2,1800,4,113.7,38.1,498,-3,0,0,0,0,0,0,0,300.0
4,2008103844,3,7,2015/11/03,44,6,10.0,16,9,931.8,15,0,5489,57,2,2000,1,127.7,38.6,505,0,1,0,0,0,1,0,0,0.0
5,2008103844,3,7,2015/10/06,46,6,10.0,12,4,166.7,8,0,5489,54,2,2100,4,136.8,39.2,505,0,0,0,0,0,0,0,0,189.0
6,2008103844,3,7,2015/09/17,47,3,10.0,10,4,6.6,3,1,5489,57,2,1900,1,122.6,38.0,505,-5,0,0,0,0,0,0,0,200.0
7,2008103844,3,7,2015/09/04,47,6,11.0,5,4,1.6,1,1,5489,55,2,1600,2,100.1,37.2,510,5,0,0,0,0,0,0,0,40.0
8,2008103844,3,7,2015/07/20,48,6,11.0,12,12,4.3,2,0,839,57,2,1900,3,122.8,39.1,505,3,0,0,0,0,0,0,0,0.0
17,2010103131,3,5,2015/11/03,44,6,10.0,16,2,855.7,13,0,5534,57,2,2000,1,128.0,39.0,457,1,1,0,0,0,1,0,0,0.0
18,2010103131,3,5,2015/10/12,35,5,11.0,15,11,585.4,12,0,5534,57,2,1600,3,98.2,37.9,456,-14,0,0,0,0,1,0,0,0.0
19,2010103131,3,5,2015/09/30,30,6,12.0,9,1,8.2,3,0,5534,56,2,2000,3,129.8,39.4,470,0,0,0,0,0,0,0,0,16.0
20,2010103131,3,5,2015/09/15,30,6,11.0,11,3,163.3,9,0,5534,56,2,1800,4,116.7,39.6,470,0,0,0,0,0,0,0,0,12.0
21,2010103131,3,5,2015/09/01,30,6,12.0,10,2,27.3,6,0,5389,57,2,1800,4,118.4,39.2,470,-2,0,0,0,0,0,0,0,0.0
21,2008102421,3,7,2015/11/03,44,6,10.0,16,6,468.3,10,0,5203,57,2,2000,1,130.9,41.2,489,-9,1,0,0,0,1,0,0,0.0
22,2008102421,3,7,2015/09/16,44,3,11.0,16,15,50.1,10,0,5171,56,2,2400,4,159.9,42.7,498,18,1,0,0,0,0,0,0,0.0
23,2008102421,3,7,2015/06/13,5,5,11.0,16,4,329.5,16,0,1095,54.0,2,1600,4,99.1,38.6,480,0,0,0,0,0,0,0,0,0.0
24,2008102421,3,7,2015/05/10,5,6,10.0,16,7,208.0,15,0,732,54.0,2,2100,4,131.7,37.4,480,2,0,0,0,0,0,0,0,0.0
25,2008102421,3,7,2015/03/14,9,6,11.0,10,6,192.8,10,0,1125,56,2,2000,4,125.2,37.0,478,2,0,0,0,0,0,0,0,0.0
71,2009100584,3,6,2015/11/03,44,6,10.0,16,11,999.9,16,0,5640,57,2,2000,1,131.2,42.1,485,1,1,0,0,0,1,0,0,0.0
72,2009100584,3,6,2015/10/07,43,6,11.0,12,4,429.7,7,0,5640,56,2,1800,4,115.1,41.2,484,-5,0,0,0,0,0,1,1,0.0
73,2009100584,3,6,2015/09/21,54,5,11.0,7,3,3.1,2,1,5640,56,2,1600,3,106.2,40.0,489,-1,0,0,0,0,0,0,0,20.0
74,2009100584,3,6,2015/09/13,54,6,11.0,7,3,3.9,3,0,5640,56,2,1400,4,91.3,40.5,490,-2,0,0,0,0,0,0,0,1.2
75,2009100584,3,6,2015/08/30,54,5,7.0,11,11,42.9,6,0,5640,57,2,1400,1,88.2,38.1,492,3,0,0,0,0,0,0,0,12.5
14,2009103630,3,6,2015/11/03,44,6,10.0,16,3,734.8,11.0,0,5549,57,2,2000,1,131.7,42.7,493,-2,1,0,0,0,1,0,0,0.0
15,2009103630,3,6,2015/10/24,54,6,11.0,9,9,30.8,6.0,0,0,56,2,1600,4,106.6,41.1,495,12,0,0,0,0,0,0,0,0.0
16,2009103630,3,6,2015/10/07,43,6,11.0,12,10,514.2,9.0,0,5549,56,2,1800,4,114.3,40.1,483,-13,0,0,0,0,0,1,1,0.0
17,2009103630,3,6,2015/09/21,54,5,11.0,7,4,17.2,6.0,0,655789,56,2,1600,3,106.4,40.7,496,-2,0,0,0,0,0,0,0,5.0
18,2009103630,3,6,2015/09/13,54,6,10.0,7,4,2.2,1.0,0,655789,56,2,1400,4,91.8,39.8,498,-9,0,0,0,0,0,0,0,5.0
27,2008101876,3,7,2015/11/03,44,6,10.0,16,7,806.6,12,0,5299,57,2,2000,1,132.4,41.3,485,0,1,0,0,0,1,0,0,0.0
28,2008101876,3,7,2015/10/06,46,6,10.0,12,9,628.0,11,0,655984,54,2,2100,4,138.1,39.6,485,-10,0,0,0,0,0,0,0,0.0
29,2008101876,3,7,2015/09/21,54,5,7.0,12,7,3.9,2,0,0,57,2,1900,3,128.3,41.4,495,10,0,0,0,0,0,0,0,7.5
30,2008101876,3,7,2015/09/08,46,5,11.0,12,4,5.6,3,0,0,56,2,2000,1,131.2,38.2,485,6,0,0,0,0,0,0,0,14.0
31,2008101876,3,7,2015/08/19,45,5,11.0,12,7,349.2,11,0,655984,56,2,1600,3,104.4,41.2,479,-6,0,0,0,0,0,0,0,0.0
