,horse_id,sex,age,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,horse_weight
2,2015104189,1,3,7,6,11.0,15,2,1.9,1.0,1,5212,56.0,2,1800,4,110.1,490
14,2012104882,3,6,7,6,11.0,15,12,32.1,8.0,1,1093,57.0,2,1800,4,110.5,480
4,2014103385,1,4,7,6,11.0,15,9,8.2,3.0,1,5509,57.0,2,1800,4,110.5,522
1,2014103365,2,4,7,6,11.0,15,1,40.1,9.0,0,660,55.0,2,1800,4,110.7,486
18,2015104273,1,3,7,6,11.0,15,11,9.2,4.0,0,5473,56.0,2,1800,4,111.1,452
24,2014106474,1,4,7,6,11.0,15,7,10.0,5.0,0,5386,57.0,2,1800,4,111.2,538
20,2012104314,3,6,7,6,11.0,15,5,13.4,6.0,0,422,57.0,2,1800,4,111.2,446
11,2012101502,1,6,7,6,11.0,15,13,139.5,12.0,0,1126,57.0,2,1800,4,111.2,476
17,2015103221,1,3,7,6,11.0,15,14,95.3,11.0,0,700,56.0,2,1800,4,111.3,518
4,2011104994,1,7,7,6,11.0,15,6,296.0,15.0,0,1037,57.0,2,1800,4,111.5,524
14,2013104055,1,5,7,6,11.0,15,8,5.0,2.0,0,1014,57.0,2,1800,4,111.5,528
21,2012104019,1,6,7,6,11.0,15,10,251.8,14.0,0,1095,57.0,2,1800,4,111.7,532
6,2012110098,1,6,7,6,11.0,15,4,204.6,13.0,0,894,57.0,2,1800,4,111.8,574
0,2014190002,1,4,7,6,11.0,15,3,27.3,7.0,0,0,57.0,2,1800,4,111.8,496
4,2016104458,1,3,7,6,11.0,16,5,4.4,2.0,1,1088,55.0,2,1800,4,108.5,550
4,2013106119,1,6,7,6,11.0,16,11,3.5,1.0,1,5339,57.0,2,1800,4,108.5,536
11,2014104052,1,5,7,6,11.0,16,4,4.7,3.0,1,666,57.0,2,1800,4,108.7,516
9,2015104879,1,4,7,6,11.0,16,3,6.7,5.0,0,1014,57.0,2,1800,4,108.8,482
2,2011105960,1,8,7,6,11.0,16,12,181.9,13.0,0,1019,57.0,2,1800,4,109.1,466
12,2015104273,1,4,7,6,11.0,16,6,6.1,4.0,0,875,57.0,2,1800,4,109.2,452
8,2013103618,1,6,7,6,11.0,16,16,47.8,10.0,0,732,57.0,2,1800,4,109.2,494
23,2015104107,1,4,7,6,11.0,16,1,30.0,8.0,0,5575,57.0,2,1800,4,109.2,474
11,2012104882,3,7,7,6,11.0,16,8,20.4,6.0,0,5271,57.0,2,1800,4,109.2,488
1,2013101999,1,6,7,6,11.0,16,15,275.0,14.0,0,5203,57.0,2,1800,4,109.3,526
11,2013102815,1,6,7,6,11.0,16,7,59.4,11.0,0,660,57.0,2,1800,4,109.4,532
5,2014101197,1,5,7,6,11.0,16,2,102.7,12.0,0,1116,57.0,2,1800,4,109.9,494
5,2012101502,1,7,7,6,11.0,16,10,332.9,15.0,0,1018,57.0,2,1800,4,110.3,480
19,2016106260,1,3,7,6,11.0,16,13,45.9,9.0,0,5212,55.0,2,1800,4,110.3,502
21,2015100122,1,4,7,6,11.0,16,14,375.8,16.0,0,1128,57.0,2,1800,4,111.8,516
5,2015104879,1,5,7,6,11.0,16,11,13.3,4.0,1,5386,57.0,2,1800,4,109.3,486
0,2013106119,1,7,7,6,11.0,16,2,9.9,3.0,1,1018,57.0,2,1800,4,109.7,532
7,2014104052,1,6,7,6,11.0,16,13,57.5,10.0,1,666,57.0,2,1800,4,109.7,518
1,2016104458,1,4,7,6,11.0,16,15,1.4,1.0,0,1088,57.0,2,1800,4,109.9,554
0,2014110031,1,6,7,6,11.0,16,12,67.9,11.0,0,1170,57.0,2,1800,4,110.0,492
9,2017110151,1,3,7,6,11.0,16,7,6.0,2.0,0,5339,56.0,2,1800,4,110.2,504
11,2013105399,1,7,7,6,11.0,16,6,91.0,12.0,0,1014,57.0,2,1800,4,110.2,492
17,2015104107,1,5,7,6,11.0,16,1,36.6,7.0,0,1093,57.0,2,1800,4,110.3,482
6,2015100318,1,5,7,6,11.0,16,9,51.5,9.0,0,1075,57.0,2,1800,4,110.3,544
13,2015110086,1,5,7,6,11.0,16,4,38.9,8.0,0,1126,57.0,2,1800,4,110.4,494
10,2014100656,1,6,7,6,11.0,16,5,19.9,5.0,0,1122,57.0,2,1800,4,110.5,494
12,2014106474,1,6,7,6,11.0,16,8,22.9,6.0,0,1154,57.0,2,1800,4,110.9,534
18,2014104259,3,6,7,6,11.0,16,10,91.1,13.0,0,5212,57.0,2,1800,4,111.1,486
1,2013106094,1,7,7,6,11.0,16,16,546.9,16.0,0,1116,57.0,2,1800,4,111.6,592
28,2015103248,1,5,7,6,11.0,16,3,371.5,15.0,0,1130,57.0,2,1800,4,112.8,542
8,2013103671,1,7,7,6,11.0,16,14,313.0,14.0,0,1176,57.0,2,1800,4,112.8,490
6,2017101010,1,4,7,5,11.0,16,6,3.3,1.0,1,1126,57.0,2,1800,4,109.7,498
2,2015104879,1,6,7,5,11.0,16,13,4.6,3.0,1,5386,57.0,2,1800,4,110.7,488
12,2014104259,3,7,7,5,11.0,16,11,115.4,14.0,1,1163,57.0,2,1800,4,110.8,482
2,2014104052,1,7,7,5,11.0,16,4,18.7,9.0,0,666,57.0,2,1800,4,110.8,516
7,2014106474,1,7,7,5,11.0,16,3,78.9,13.0,0,1154,57.0,2,1800,4,111.0,534
13,2016101455,1,5,7,5,11.0,16,9,14.0,5.0,0,1014,57.0,2,1800,4,111.1,478
8,2017106404,1,4,7,5,11.0,16,15,24.8,10.0,0,1115,57.0,2,1800,4,111.1,508
15,2015104526,1,6,7,5,11.0,16,8,120.2,15.0,0,1030,57.0,2,1800,4,111.3,486
5,2013105399,1,8,7,5,11.0,16,5,43.3,11.0,0,1116,57.0,2,1800,4,111.4,486
8,2016104163,1,5,7,5,11.0,16,2,17.9,7.0,0,5212,57.0,2,1800,4,111.7,532
5,2017110151,1,4,7,5,11.0,16,16,9.6,4.0,0,5339,57.0,2,1800,4,111.7,520
7,2018105233,2,3,7,5,11.0,16,1,4.5,2.0,0,1095,54.0,2,1800,4,112.0,470
2,2013104055,1,8,7,5,11.0,16,10,216.9,16.0,0,422,57.0,2,1800,4,112.1,526
5,2014100656,1,7,7,5,11.0,16,12,18.6,8.0,0,1088,57.0,2,1800,4,112.4,498
12,2017100988,1,4,7,5,11.0,16,7,14.6,6.0,0,732,57.0,2,1800,4,112.6,554
10,2017105292,1,4,7,5,11.0,16,14,76.7,12.0,0,1170,57.0,2,1800,4,114.2,538
1,2017105396,1,5,7,6,11.0,16,5,7.9,3.0,1,1150,57.0,2,1800,4,111.9,486
1,2019104678,1,3,7,6,11.0,16,10,14.3,4.0,1,1014,56.0,2,1800,4,111.9,500
2,2019100630,1,3,7,6,11.0,16,3,15.9,6.0,1,660,56.0,2,1800,4,112.1,466
2,2017101010,1,5,7,6,11.0,16,12,1.5,1.0,0,1126,57.0,2,1800,4,112.2,494
3,2018103528,1,4,7,6,11.0,16,13,23.2,7.0,0,1088,57.0,2,1800,4,112.5,516
6,2017100988,1,5,7,6,11.0,16,2,51.9,11.0,0,732,57.0,2,1800,4,112.6,540
3,2016100617,1,6,7,6,11.0,16,4,41.4,10.0,0,1157,57.0,2,1800,4,112.6,522
5,2019101623,1,3,7,6,11.0,16,9,14.3,5.0,0,666,56.0,2,1800,4,112.6,516
6,2016101455,1,6,7,6,11.0,16,7,38.7,9.0,0,5339,57.0,2,1800,4,112.6,480
5,2017101719,1,5,7,6,11.0,16,14,130.2,12.0,0,1077,57.0,2,1800,4,112.7,520
2,2015104417,1,7,7,6,11.0,16,6,189.2,13.0,0,1178,57.0,2,1800,4,112.9,520
2,2018105251,1,4,7,6,11.0,16,1,7.7,2.0,0,5366,57.0,2,1800,4,113.0,504
3,2015105868,1,7,7,6,11.0,16,15,355.6,16.0,0,1034,57.0,2,1800,4,113.2,484
0,2014106474,1,8,7,6,11.0,16,8,239.6,14.0,0,1154,57.0,2,1800,4,113.4,532
5,2018105365,3,4,7,6,11.0,16,16,267.1,15.0,0,1127,57.0,2,1800,4,114.6,502
9,2006106794,1,8,44,5,12.0,11,10,4.4,3.0,1,666,57.0,2,2000,1,123.5,513
22,2010106548,1,4,44,5,12.0,11,7,1.6,1.0,1,1075,57.0,2,2000,1,123.9,534
11,2007103215,1,7,44,5,12.0,11,4,21.3,5.0,1,1014,57.0,2,2000,1,124.3,463
10,2007100191,1,7,44,5,12.0,11,2,4.1,2.0,0,1034,57.0,2,2000,1,124.6,530
4,2005102317,1,9,44,5,12.0,11,6,44.8,6.0,0,422,57.0,2,2000,1,125.3,467
13,2008103165,1,6,44,5,12.0,11,9,10.6,4.0,0,5203,57.0,2,2000,1,125.6,484
0,2007104956,1,7,44,5,12.0,11,5,144.4,9.0,0,817,57.0,2,2000,1,126.9,492
27,2006104877,1,8,44,5,12.0,11,8,282.9,11.0,0,5222,57.0,2,2000,1,127.5,489
3,2005104916,1,9,44,5,12.0,11,11,334.7,10.0,0,0,57.0,2,2000,1,127.8,508
33,2008101536,1,6,44,5,12.0,11,3,123.6,8.0,0,5396,57.0,2,2000,1,130.0,464
7,2009100921,1,6,44,6,11.0,12,1,1.5,1.0,1,732,57.0,2,2000,4,122.7,502
14,2010104098,1,5,44,6,11.0,12,5,8.0,4.0,1,666,57.0,2,2000,4,122.9,493
19,2011102947,1,4,44,6,11.0,12,9,19.2,5.0,1,5089,57.0,2,2000,4,123.4,524
24,2009105650,3,6,44,6,11.0,12,7,148.2,7.0,0,5299,57.0,2,2000,4,124.3,548
