,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
13,2016104163,3,5,2021/01/27,45,5,11.0,10,1,6.4,4.0,1,5549,57.0,2,2100,2,134.9,37.5,541,0,0,0,0,0,1,0,0,6000.0
14,2016104163,3,4,2020/12/29,44,6,10.0,16,14,38.3,9.0,0,5549,57.0,2,2000,4,126.9,36.5,541,-3,1,0,0,0,1,0,0,2800.0
15,2016104163,3,4,2020/12/09,44,5,11.0,16,7,9.9,4.0,1,5549,57.0,2,1800,4,112.1,37.7,544,10,1,0,0,0,0,0,0,2200.0
16,2016104163,3,4,2020/11/12,45,5,11.0,14,5,2.9,1.0,1,5549,57.0,2,2000,4,129.1,38.7,534,-3,0,0,0,0,0,0,0,500.0
17,2016104163,3,4,2020/07/29,44,5,11.0,13,3,5.0,3.0,0,5549,57.0,2,1600,3,100.5,39.6,537,-12,1,0,0,0,0,0,0,0.0
6,2015104273,3,6,2021/01/27,45,5,11.0,10,8,1.9,1.0,0,5212,57.0,2,2100,2,135.5,37.4,455,-2,0,0,0,0,1,0,0,2100.0
7,2015104273,3,5,2020/12/29,44,6,10.0,16,7,1.3,1.0,1,5212,57.0,2,2000,4,126.9,36.2,457,4,1,0,0,0,1,0,0,8000.0
8,2015104273,3,5,2020/11/03,44,5,10.0,15,1,4.9,2.0,0,5212,57.0,2,2000,3,123.0,37.1,453,1,1,0,0,0,1,0,0,2800.0
9,2015104273,3,5,2020/06/24,44,5,11.0,14,11,2.0,1.0,0,5212,57.0,2,2000,2,125.7,36.5,452,-8,1,0,0,0,1,0,0,2100.0
10,2015104273,3,5,2020/05/23,8,6,11.0,14,5,5.3,3.0,1,1102,59.0,2,1900,4,116.0,35.5,460,9,0,0,0,0,0,0,0,3649.7
15,2017105292,3,4,2021/01/27,45,5,11.0,10,4,5.0,3.0,0,1088,56.0,2,2100,2,135.6,37.9,529,-1,0,0,0,0,1,0,0,1200.0
16,2017105292,3,3,2020/12/29,44,6,10.0,16,5,7.0,2.0,0,1088,55.0,2,2000,4,128.4,37.9,530,1,1,0,0,0,1,0,0,0.0
17,2017105292,3,3,2020/11/25,42,5,10.0,11,6,4.4,3.0,1,1088,56.0,2,2000,3,126.0,36.8,529,2,0,0,0,0,0,1,1,3500.0
18,2017105292,3,3,2020/11/03,44,5,10.0,15,6,26.4,5.0,0,1163,55.0,2,2000,3,124.0,38.8,527,-4,1,0,0,0,1,0,0,400.0
19,2017105292,3,3,2020/09/30,43,5,11.0,14,10,4.2,2.0,0,1163,55.0,2,1800,3,114.5,43.3,531,13,0,0,0,0,0,1,1,0.0
8,2013105053,3,8,2021/01/27,45,5,11.0,10,3,35.4,7.0,0,5524,57.0,2,2100,2,135.7,37.8,539,0,0,0,0,0,1,0,0,600.0
9,2013105053,3,8,2021/01/03,45,6,10.0,13,10,2.3,1.0,1,5524,58.0,2,2100,4,136.6,38.5,539,1,0,0,0,0,0,0,0,2000.0
10,2013105053,3,7,2020/11/25,42,5,10.0,11,7,39.0,8.0,0,5524,56.0,2,2000,3,126.1,36.4,538,-2,0,0,0,0,0,1,1,350.0
11,2013105053,3,7,2020/10/21,42,6,11.0,10,5,3.8,1.0,1,5524,58.0,2,1900,3,119.8,38.5,540,4,0,0,0,0,0,0,0,1200.0
12,2013105053,3,7,2020/05/20,44,5,11.0,13,11,4.8,3.0,0,5365,57.0,2,2000,1,127.5,39.2,536,4,1,0,0,0,0,0,0,1120.0
