,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
9,2006106794,3,8,2014/06/25,44,5,12,11,10,4.4,3,1,666,57,2,2000,1,123.5,35.8,513,4,1,0,0,0,1,0,0,6000.0
10,2006106794,3,8,2014/05/05,43,5,11,8,7,1.8,1,0,666,57,2,1600,4,99.6,37.0,509,-7,0,0,0,0,1,0,0,1200.0
11,2006106794,3,8,2014/02/23,5,6,11,16,4,10.0,5,0,666,57,2,1600,4,96.5,35.2,516,2,0,0,0,0,1,0,0,0.0
12,2006106794,3,7,2013/12/29,44,6,10,9,4,3.7,2.0,0,666,57,2,2000,4,126.9,36.3,514,-8,1,0,0,0,1,0,0,2450.0
13,2006106794,3,7,2013/12/01,9,6,11,16,8,15.7,6,0,666,57,2,1800,4,110.4,35.9,522,3,0,0,0,0,1,0,0,5298.4
22,2010106548,3,4,2014/06/25,44,5,12,11,7,1.6,1,0,1075,57,2,2000,1,123.9,36.4,534,-3,1,0,0,0,1,0,0,2100.0
23,2010106548,3,4,2014/05/05,43,5,11,8,5,2.4,2,1,1075,57,2,1600,4,99.2,36.5,537,7,0,0,0,0,1,0,0,6000.0
24,2010106548,3,4,2014/02/23,5,6,11,16,13,272.1,16,1,1075,57,2,1600,4,96.0,35.3,530,4,0,0,0,0,1,0,0,9740.2
25,2010106548,3,3,2013/12/23,6,6,11,16,6,6.6,3,0,5386,56,2,1800,3,112.3,38.1,526,2,0,0,0,0,0,0,0,0.0
26,2010106548,3,3,2013/11/17,5,6,11,16,3,4.0,1,0,422,56.0,2,1400,4,84.8,37.1,524,-6,0,0,0,0,0,0,0,0.0
11,2007103215,3,7,2014/06/25,44,5,12,11,4,21.3,5,0,1014,57,2,2000,1,124.3,36.5,463,-3,1,0,0,0,1,0,0,1200.0
12,2007103215,0,0,2014/03/26,0,3,10,12,7,0,0,0,0,0,2,1900,1,0,37.9,0,0,0,0,0,0,0,0,0,546.0
13,2007103215,0,0,2014/02/13,0,4,10,12,1,0,0,0,0,0,2,2000,3,0,39.2,0,0,0,0,0,0,0,0,0,690.0
14,2007103215,3,7,2014/01/26,7,6,11,16,15,12.9,5,0,1014,56,2,1800,4,111.6,37.9,466,4,0,0,0,0,0,1,1,0.0
15,2007103215,3,6,2013/12/01,9,6,11,16,11,74.0,12,0,5386,57,2,1800,4,111.4,36.7,462,-3,0,0,0,0,1,0,0,0.0
10,2007100191,3,7,2014/06/25,44,5,12,11,2,4.1,2,0,1034,57,2,2000,1,124.6,37.0,530,-4,1,0,0,0,1,0,0,600.0
11,2007100191,3,7,2014/04/19,9,6,11,16,12,1.8,1,0,1034,58,2,1800,4,111.5,36.4,534,7,0,0,0,0,0,0,0,888.7
12,2007100191,3,7,2014/03/19,43,5,11,14,3,2.1,2,1,1034,56,2,2400,3,154.6,38.4,527,-1,0,0,0,0,0,1,1,3200.0
13,2007100191,3,7,2014/02/23,5,6,11,16,7,7.8,4,0,1034,57,2,1600,4,96.7,35.5,528,-16,0,0,0,0,1,0,0,0.0
14,2007100191,3,7,2014/01/26,7,6,11,16,14,1.6,1,1,1034,57,2,1800,4,110.4,37.5,544,9,0,0,0,0,0,1,1,5417.6
4,2005102317,3,9,2014/06/25,44,5,12,11,6,44.8,6,0,422,57,2,2000,1,125.3,36.7,467,-11,1,0,0,0,1,0,0,300.0
5,2005102317,3,9,2014/05/11,5,6,10,14,2,25.0,10,0,422,58.5,2,2100,4,132.7,36.0,478,11,0,0,0,0,0,0,0,0.0
6,2005102317,0,0,2013/12/25,0,6,10,12,9,0,0,0,0,0,2,2500,3,0,39.7,0,0,0,0,0,0,0,1,1,3100.0
7,2005102317,3,8,2013/11/20,42,6,10,10,6,1.5,1,0,422,57,2,2000,4,127.8,38.9,472,2,0,0,0,0,0,1,1,1225.0
8,2005102317,0,0,2013/10/08,0,5,10,12,8,0,0,0,0,0,2,2100,4,0,38.1,0,0,0,0,0,0,0,0,0,372.0
13,2008103165,3,6,2014/06/25,44,5,12,11,9,10.6,4.0,0,5203,57.0,2,2000,1,125.6,37.5,484,2,1,0,0,0,1,0,0,0.0
14,2008103165,3,6,2014/06/01,5,6,12,16,15,14.1,7.0,0,422,57.5,1,2500,4,151.2,34.8,482,4,0,0,0,0,0,1,1,0.0
15,2008103165,3,6,2014/03/19,43,5,11,14,2,1.6,1.0,0,5203,56.0,2,2400,3,156.5,40.3,478,-1,0,0,0,0,0,1,1,160.0
16,2008103165,3,6,2014/01/29,45,6,11,11,4,10.7,3.0,0,5203,57.0,2,2100,4,133.9,38.4,479,-17,0,0,0,0,1,0,0,2100.0
17,2008103165,3,5,2013/11/30,7,6,11,14,3,8.0,4.0,0,5212,57.0,1,2000,4,120.6,34.8,496,16,0,0,0,0,0,1,1,0.0
0,2007104956,3,7,2014/06/25,44,5,12,11,5,144.4,9.0,0,817,57.0,2,2000,1,126.9,38.0,492,-3,1,0,0,0,1,0,0,0.0
1,2007104956,3,7,2014/05/14,44,5,11,16,2,24.9,5.0,0,817,56.0,2,2000,3,125.7,39.0,495,-1,1,0,0,0,0,0,0,220.0
