,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
14,2013106119,3,4,2017/10/09,6240,35,5,11.0,16,13,3.4,2.0,0,0,1088,57.0,2,1600,3,95.8,34.4,524,7,0,0,0,0,1,0,0,225.0
15,2013106119,3,4,2017/06/28,6135,44,5,11.0,16,11,8.0,4.0,0,0,5212,57.0,2,2000,2,126.2,39.2,517,0,1,0,0,0,1,0,0,0.0
16,2013106119,3,4,2017/02/19,6002,5,6,11.0,16,3,5.0,2.0,1,1,5212,57.0,2,1600,4,95.1,35.6,520,4,0,0,0,0,1,0,0,10052.8
17,2013106119,3,3,2016/12/04,5925,7,5,11.0,15,12,5.7,2.0,0,0,5212,56.0,2,1800,4,111.4,38.5,516,2,0,0,0,0,1,0,0,0.0
18,2013106119,3,3,2016/11/12,5902,5,6,11.0,16,8,3.4,2.0,0,1,5212,56.0,2,1600,2,94.0,34.9,514,-4,0,0,0,0,0,0,0,1516.6
7,2012101830,3,5,2017/11/05,6267,8,6,11.0,15,16,3.1,2.0,1,1,1015,56.0,2,1800,4,110.1,37.2,492,-4,0,0,0,0,0,0,0,3856.0
8,2012101830,3,5,2017/08/13,6182,1,5,11.0,14,4,1.5,1.0,0,1,1015,56.0,2,1700,2,101.0,36.0,496,4,0,0,0,0,0,0,0,1414.2
9,2012101830,3,5,2017/07/09,6147,2,5,11.0,14,11,1.5,1.0,1,1,1015,57.0,2,1700,4,102.9,37.2,492,4,0,0,0,0,0,0,0,2229.4
10,2012101830,3,5,2017/06/24,6131,2,6,11.0,14,8,2.4,1.0,1,1,1015,56.0,2,1700,4,102.8,36.9,488,-2,0,0,0,0,0,0,0,2229.4
11,2012101830,3,5,2017/05/28,6104,8,6,9.0,16,13,4.1,2.0,1,1,1015,56.0,2,1800,4,110.4,37.0,490,-2,0,0,0,0,0,0,0,1859.2
2,2010106548,3,7,2017/11/03,6265,44,6,8.0,16,10,3.0,1.0,0,1,5342,57.0,2,1200,2,71.4,36.6,537,-9,1,0,0,0,1,0,0,2100.0
3,2010106548,3,7,2017/10/09,6240,35,5,11.0,16,11,3.1,1.0,1,1,1075,57.0,2,1600,3,94.9,34.6,546,10,0,0,0,0,1,0,0,4500.0
4,2010106548,3,7,2017/05/05,6081,43,6,11.0,10,1,3.2,2.0,1,1,666,57.0,2,1600,4,99.9,38.0,536,-8,0,0,0,0,1,0,0,6000.0
5,2010106548,3,7,2017/02/19,6002,5,6,11.0,16,4,9.0,6.0,0,0,666,57.0,2,1600,4,96.5,37.3,544,-1,0,0,0,0,1,0,0,0.0
6,2010106548,3,6,2016/12/29,5950,44,6,10.0,14,2,5.4,3.0,0,0,5386,57.0,2,2000,2,127.5,38.0,545,1,1,0,0,0,1,0,0,400.0
23,2013104055,3,4,2017/11/03,6265,44,6,9.0,13,12,4.3,3.0,0,1,1014,57.0,2,2000,2,124.7,37.6,503,0,1,0,0,0,1,0,0,2800.0
24,2013104055,3,4,2017/09/27,6227,43,5,11.0,11,10,2.3,1.0,0,1,1014,58.0,2,1800,3,113.0,37.3,503,-1,0,0,0,0,0,1,1,640.0
25,2013104055,3,4,2017/06/28,6135,44,5,11.0,16,3,8.2,6.0,1,1,1014,57.0,2,2000,2,124.4,36.5,504,0,1,0,0,0,1,0,0,6000.0
26,2013104055,3,4,2017/05/20,6096,8,6,11.0,16,16,8.4,4.0,0,0,1014,58.0,2,1900,4,116.5,38.8,504,2,0,0,0,0,0,0,0,360.0
27,2013104055,3,4,2017/03/30,6044,48,6,11.0,9,5,4.5,3.0,1,1,1014,58.0,2,1900,4,122.5,40.5,502,4,0,0,0,0,0,0,0,2100.0
4,2010110078,3,7,2017/11/03,6265,44,6,9.0,13,1,2.4,1.0,0,0,666,57.0,2,2000,2,125.1,38.1,504,-7,1,0,0,0,1,0,0,800.0
5,2010110078,3,7,2017/06/28,6135,44,5,11.0,16,2,2.6,1.0,0,1,666,57.0,2,2000,2,125.3,38.4,511,0,1,0,0,0,1,0,0,1200.0
6,2010110078,3,6,2016/12/29,5950,44,6,10.0,14,8,1.6,1.0,0,1,666,57.0,2,2000,2,126.1,36.5,511,-3,1,0,0,0,1,0,0,2800.0
7,2010110078,3,6,2016/12/04,5925,7,5,11.0,15,2,2.2,1.0,0,1,666,57.0,2,1800,4,110.1,37.0,514,10,0,0,0,0,1,0,0,3992.4
8,2010110078,3,6,2016/11/03,5893,45,6,11.0,14,9,2.4,2.0,1,1,666,57.0,2,2100,2,135.3,38.6,504,-6,0,0,0,0,1,0,0,8000.0
20,2012101502,3,5,2017/11/03,6265,44,6,9.0,13,5,26.4,7.0,0,1,1126,57.0,2,2000,2,124.7,37.8,462,-6,1,0,0,0,1,0,0,1600.0
21,2012101502,3,5,2017/09/30,6230,9,6,11.0,16,12,5.0,2.0,0,0,1126,57.5,2,2000,4,124.7,36.9,468,5,0,0,0,0,0,0,0,0.0
22,2012101502,3,5,2017/07/17,6155,35,5,9.0,14,2,2.3,1.0,1,1,1126,54.0,2,2000,3,122.1,36.3,463,-5,0,0,0,0,0,0,0,2300.0
23,2012101502,3,5,2017/05/07,6083,5,5,10.0,16,2,4.0,1.0,1,1,1126,56.5,2,2100,4,130.3,36.0,468,0,0,0,0,0,0,0,0,2235.0
24,2012101502,3,5,2017/04/15,6060,9,6,11.0,16,3,4.2,2.0,0,0,660,56.0,2,1800,4,110.6,36.0,468,3,0,0,0,0,0,0,0,0.0
10,2012106056,3,5,2017/11/11,6273,5,6,11.0,16,16,3.7,2.0,0,0,1014,57.0,2,1600,4,96.1,35.1,488,-1,0,0,0,0,0,0,0,380.0
11,2012106056,3,5,2017/10/09,6240,35,5,11.0,16,14,3.5,3.0,0,0,1014,57.0,2,1600,3,95.7,35.1,489,3,0,0,0,0,1,0,0,405.0
12,2012106056,3,5,2017/07/09,6147,7,5,11.0,15,8,2.8,1.0,0,1,1014,57.0,2,1400,4,83.2,36.0,486,0,0,0,0,0,0,0,0,1415.8
13,2012106056,3,5,2017/02/19,6002,5,6,11.0,16,10,4.5,1.0,0,1,1092,57.0,2,1600,4,95.2,34.9,486,2,0,0,0,0,1,0,0,2450.4
14,2012106056,3,5,2017/01/29,5981,5,5,11.0,16,3,3.0,1.0,1,1,1014,56.0,2,1400,4,83.0,34.5,484,2,0,0,0,0,0,0,0,3856.7
18,2011105960,3,6,2017/11/05,6267,8,6,11.0,15,12,7.3,3.0,0,1,1093,57.0,2,1800,4,110.7,36.8,470,2,0,0,0,0,0,0,0,958.0
19,2011105960,3,6,2017/10/09,6240,35,5,11.0,16,9,10.3,5.0,0,1,5541,57.0,2,1600,3,95.5,35.1,468,10,0,0,0,0,1,0,0,585.0
20,2011105960,3,6,2017/07/09,6147,7,5,11.0,15,12,7.0,5.0,1,1,1093,56.0,2,1400,4,82.9,35.6,458,0,0,0,0,0,0,0,0,3655.3
21,2011105960,3,6,2017/06/17,6124,9,6,11.0,14,3,7.3,3.0,0,1,1093,58.0,2,1400,4,82.6,35.4,458,2,0,0,0,0,0,0,0,889.0
22,2011105960,3,6,2017/03/14,6028,54,6,5.0,12,9,5.2,3.0,0,1,1093,56.0,2,1400,2,88.4,38.5,456,0,0,0,0,0,0,0,0,485.0
27,2012104314,2,5,2017/11/11,6273,5,6,11.0,16,8,18.7,7.0,0,0,5473,58.0,2,1600,4,95.9,35.2,452,0,0,0,0,0,0,0,0,570.0
28,2012104314,2,5,2017/02/19,6002,5,6,11.0,16,11,7.1,4.0,0,0,5339,57.0,2,1600,4,95.7,36.0,452,8,0,0,0,0,1,0,0,0.0
29,2012104314,2,4,2016/12/29,5950,44,6,10.0,14,5,8.8,4.0,0,0,5339,57.0,2,2000,2,126.9,37.0,444,-2,1,0,0,0,1,0,0,800.0
30,2012104314,2,4,2016/12/04,5925,7,5,11.0,15,9,7.5,4.0,0,0,5366,57.0,2,1800,4,110.5,36.6,446,8,0,0,0,0,1,0,0,0.0
