,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
15,2009100921,3,4,2013/12/01,4806,9,6,11.0,16,6,1.9,1,0,732,57,2,1800,4,110.5,36.6,506,-2,0,0,0,0,1,0,0,3349.2
16,2009100921,0,0,2013/11/04,4778,0,5,10.0,12,1,0,0,0,0,0,2,2100,1,0,37.0,0,0,0,0,0,0,1,0,0,8000.0
17,2009100921,0,0,2013/10/14,4757,0,6,11.0,13,12,0,0,0,0,0,2,1600,4,0,35.1,0,0,0,0,0,0,1,0,0,1035.0
18,2009100921,3,4,2013/06/26,4645,44,3,11.0,12,8,4.1,3,1,732,57,2,2000,1,123.0,36.7,501,12,1,0,0,0,1,0,0,6000.0
19,2009100921,3,4,2013/05/06,4594,43,6,11.0,11,7,2.4,2,1,732,57,2,1600,4,97.8,37.3,489,-9,0,0,0,0,1,0,0,6000.0
13,2006106794,3,7,2013/12/01,4806,9,6,11.0,16,8,15.7,6,0,666,57,2,1800,4,110.4,35.9,522,3,0,0,0,0,1,0,0,5298.4
14,2006106794,0,0,2013/11/04,4778,0,5,10.0,12,12,0,0,0,0,0,2,2100,1,0,37.0,0,0,0,0,0,0,1,0,0,1840.0
15,2006106794,3,7,2013/09/23,4735,43,5,11.0,12,11,1.3,1,1,666,58,2,1800,4,110.3,37.0,502,-12,0,0,0,0,0,1,1,3200.0
16,2006106794,3,7,2013/06/26,4645,44,3,11.0,12,3,6.6,4,0,666,57,2,2000,1,123.5,37.3,514,-4,1,0,0,0,1,0,0,1200.0
17,2006106794,3,7,2013/02/17,4512,5,6,11.0,16,10,9.2,7,0,1018,57,2,1600,4,95.3,35.9,518,0,0,0,0,0,1,0,0,2448.6
16,2007100191,3,6,2013/12/01,4806,9,6,11.0,16,14,13.4,5,0,1034,57,2,1800,4,111.2,37.2,540,8,0,0,0,0,1,0,0,1300.0
17,2007100191,3,6,2013/06/26,4645,44,3,11.0,12,11,2.6,1,0,1034,57,2,2000,1,123.2,36.9,532,-6,1,0,0,0,1,0,0,2100.0
18,2007100191,3,6,2013/05/18,4606,8,6,11.0,16,1,1.4,1,1,1034,59,2,1900,4,116.9,36.4,538,6,0,0,0,0,0,0,0,3561.6
19,2007100191,3,6,2013/04/13,4570,9,6,11.0,16,8,2.9,2,0,1034,59,2,1800,4,109.8,35.9,532,-4,0,0,0,0,0,0,0,1416.2
