,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
8,2019101623,3,3,2022/05/04,7940,50,6,8.0,12,3,3.9,2.0,0,666,56.0,2,1870,4,122.7,39.5,517,9,0,0,0,0,0,1,1,1400.0
9,2019101623,3,3,2022/03/26,7900,6,5,10.0,8,8,4.1,2.0,0,666,56.0,2,1800,3,112.2,37.9,508,-2,0,0,0,0,0,0,0,725.0
10,2019101623,3,3,2022/03/05,7879,9,6,6.0,12,1,2.0,1.0,1,666,56.0,2,1800,4,113.3,38.3,510,-2,0,0,0,0,0,0,0,750.0
11,2019101623,3,3,2022/02/12,7855,9,6,3.0,10,10,1.6,1.0,1,666,56.0,2,1800,4,113.7,37.5,512,4,0,0,0,0,0,0,0,520.0
12,2019101623,3,3,2022/01/16,7828,7,6,5.0,11,8,6.2,4.0,0,666,56.0,1,2000,4,122.7,35.5,508,-4,0,0,0,0,0,0,0,0.0
8,2019104245,3,3,2022/06/19,7986,5,6,11.0,15,5,20.1,7.0,1,1179,56.0,2,1600,4,95.2,36.4,482,2,0,0,0,1,0,0,0,3753.9
9,2019104245,3,3,2022/05/15,7951,5,5,10.0,13,8,4.5,2.0,0,1179,56.0,2,1600,3,95.9,36.7,480,-2,0,0,0,0,0,0,0,180.0
10,2019104245,3,3,2022/04/17,7922,6,6,5.0,13,11,4.0,3.0,1,1179,56.0,2,1800,3,112.1,37.8,482,0,0,0,0,0,0,0,0,750.0
11,2019104245,3,3,2022/03/26,7900,6,5,10.0,8,2,242.3,8.0,0,1127,56.0,2,1800,3,112.2,38.1,482,-6,0,0,0,0,0,0,0,452.5
12,2019104245,3,3,2022/02/26,7869,6,6,7.0,10,7,116.7,10.0,0,1127,56.0,2,1800,4,115.1,38.6,488,-6,0,0,0,0,0,0,0,0.0
5,2019104194,3,3,2022/05/04,7940,50,6,8.0,12,7,4.0,3.0,1,1032,56.0,2,1870,4,121.4,38.4,459,-3,0,0,0,0,0,1,1,3500.0
6,2019104194,3,3,2022/04/09,7914,9,6,5.0,11,10,1.5,1.0,1,1032,56.0,2,1800,4,113.6,37.3,462,-2,0,0,0,0,0,0,0,750.0
7,2019104194,3,3,2022/02/20,7863,5,5,9.0,14,10,3.1,1.0,0,1014,56.0,2,1600,2,96.4,36.4,464,4,0,0,0,0,0,0,0,0.0
8,2019104194,3,3,2022/01/22,7834,7,6,3.0,14,5,1.7,1.0,1,1032,56.0,2,1800,4,114.4,37.5,460,0,0,0,0,0,0,0,0,600.0
7,2019100630,3,3,2022/05/22,7958,7,6,10.0,10,10,2.0,1.0,1,1093,56.0,2,1800,4,113.0,36.5,462,4,0,0,0,0,0,0,0,1924.5
8,2019100630,3,3,2022/03/19,7893,9,5,7.0,10,4,3.7,3.0,1,1093,56.0,2,1800,2,111.0,36.4,458,-8,0,0,0,0,0,0,0,750.0
9,2019100630,3,3,2022/01/10,7822,7,6,4.0,15,7,7.3,4.0,1,1018,56.0,2,1800,4,114.7,37.9,466,0,0,0,0,0,0,0,0,600.0
3,2019101616,3,3,2022/06/08,7975,44,5,11.0,15,13,102.4,12.0,0,655967,56.0,2,2000,2,127.5,38.5,543,-5,1,0,0,0,0,0,0,1750.0
4,2019101616,3,3,2022/05/12,7948,44,3,11.0,15,6,28.7,8.0,0,655967,56.0,2,1800,3,115.9,43.6,548,0,1,0,0,0,0,0,0,0.0
5,2019101616,3,3,2022/03/09,7883,44,6,10.0,16,6,4.6,3.0,1,655967,55.0,2,1800,4,114.5,38.9,548,1,1,0,0,0,0,0,0,350.0
6,2019101616,3,3,2022/02/10,7853,44,1,11.0,10,6,9.7,6.0,0,655967,55.0,2,1800,3,113.0,39.5,547,-1,1,0,0,0,0,0,0,60.0
7,2019101616,3,2,2021/12/30,7811,44,6,3.0,10,5,1.6,1.0,1,655967,55.0,2,1600,4,103.1,40.5,548,4,1,0,0,0,0,0,0,260.0
9,2019110019,3,3,2022/06/08,7975,44,5,11.0,15,15,6.5,4.0,0,5549,56.0,2,2000,2,129.1,40.4,524,0,1,0,0,0,0,0,0,0.0
10,2019110019,3,3,2022/05/13,7949,44,3,7.0,7,4,1.6,1.0,1,5404,56.0,2,2000,1,127.2,39.3,524,1,1,0,0,0,0,0,0,340.0
11,2019110019,3,3,2022/03/31,7905,44,5,7.0,8,3,1.4,1.0,1,5404,57.0,2,1600,3,102.3,39.2,523,5,1,0,0,0,0,0,0,320.0
12,2019110019,3,3,2022/02/19,7862,9,4,7.0,12,1,39.3,8.0,0,689,56.0,2,1800,4,115.7,37.8,518,-8,0,0,0,0,0,0,0,75.0
13,2019110019,3,3,2022/01/29,7841,5,5,4.0,16,13,147.2,14.0,0,689,56.0,2,1600,4,98.1,37.3,526,-4,0,0,0,0,0,0,0,0.0
11,2019100738,3,3,2022/06/28,7995,44,6,9.0,14,8,17.2,5.0,0,5590,54.0,2,1800,4,113.8,37.5,482,3,1,0,0,0,0,0,0,52.5
12,2019100738,3,3,2022/06/08,7975,44,5,7.0,6,2,3.8,2.0,1,5590,56.0,2,1800,2,117.4,37.1,479,-1,1,0,0,0,0,0,0,340.0
13,2019100738,3,3,2022/05/25,7961,44,6,7.0,8,3,52.9,8.0,1,5590,56.0,2,1700,4,107.9,38.9,480,-9,1,0,0,0,0,0,0,240.0
14,2019100738,3,3,2022/05/13,7949,44,3,1.0,10,7,27.8,8.0,0,5590,56.0,2,1600,1,101.8,39.3,489,-2,1,0,0,0,0,0,0,40.0
15,2019100738,3,3,2022/04/22,7927,44,6,3.0,12,12,100.7,11.0,0,5590,56.0,2,1600,1,102.1,39.3,491,17,1,0,0,0,0,0,0,0.0
13,2019106177,3,3,2022/06/08,7975,44,5,11.0,15,16,113.8,14.0,0,5618,56.0,2,2000,2,128.6,40.1,466,1,1,0,0,0,0,0,0,0.0
