,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
2,2020104376,3,3,2023/06/07,8346,44,6,11.0,15,12,1.5,1.0,1,1,5404,56.0,2,2000,2,124.8,37.0,483,1,1,0,0,0,0,0,0,5000.0
3,2020104376,3,3,2023/05/10,8318,44,6,11.0,16,6,13.6,4.0,1,1,5404,56.0,2,1800,3,110.9,37.2,482,-16,1,0,0,0,0,0,0,3500.0
4,2020104376,3,2,2022/12/07,8160,44,6,10.0,10,1,2.0,1.0,1,1,5443,56.0,2,1800,1,114.9,38.4,498,5,1,0,0,0,0,0,0,300.0
5,2020104376,3,2,2022/11/01,8123,44,5,3.0,7,3,2.3,1.0,1,1,5380,55.0,2,1600,4,100.7,38.9,493,-3,1,0,0,0,0,0,0,210.0
6,2020104376,3,2,2022/09/23,8083,44,3,4.0,7,1,2.8,1.0,1,1,5380,54.0,2,1600,2,103.3,38.5,496,0,1,0,0,0,0,0,0,240.0
2,2020104239,3,3,2023/05/03,8311,50,6,11.0,12,2,11.3,4.0,0,1,5328,57.0,2,1870,4,121.7,38.5,487,-5,0,0,0,0,0,1,1,1400.0
3,2020104239,3,3,2023/03/18,8264,9,5,6.0,15,10,23.4,6.0,1,1,1093,56.0,2,1800,1,112.4,36.7,492,6,0,0,0,0,0,0,0,780.0
4,2020104239,3,3,2023/02/12,8227,9,6,2.0,11,8,15.4,5.0,1,1,0,52.0,2,1800,4,115.2,38.4,486,4,0,0,0,0,0,0,0,550.0
5,2020104239,3,3,2023/01/22,8206,10,6,1.0,15,8,39.1,10.0,0,0,0,52.0,2,1700,3,108.1,37.5,482,8,0,0,0,0,0,0,0,55.0
6,2020104239,3,2,2022/12/18,8171,7,6,1.0,15,14,8.9,5.0,0,0,1171,55.0,2,1800,4,121.2,41.9,474,-6,0,0,0,0,0,0,0,0.0
2,2020100273,3,3,2023/05/03,8311,50,6,11.0,12,6,1.4,1.0,1,1,666,57.0,2,1870,4,120.7,38.9,493,1,0,0,0,0,0,1,1,3500.0
3,2020100273,3,3,2023/03/25,8271,6,5,10.0,14,7,2.5,1.0,1,1,1162,56.0,2,1800,1,111.9,38.8,492,-6,0,0,0,0,0,0,0,1830.1
4,2020100273,3,3,2023/01/07,8191,6,6,9.0,16,12,3.6,1.0,1,1,1162,56.0,2,1800,4,113.3,39.5,498,2,0,0,0,0,0,0,0,1106.4
5,2020100273,3,2,2022/11/12,8134,5,6,9.0,16,10,19.2,5.0,0,0,1162,55.0,2,1400,4,86.6,38.3,496,16,0,0,0,0,0,0,0,0.0
6,2020100273,3,2,2022/08/07,8036,4,6,6.0,15,13,15.4,4.0,1,1,1162,54.0,2,1800,4,114.9,38.6,480,0,0,0,0,0,0,0,0,700.0
1,2020102891,3,3,2023/05/14,8322,5,5,10.0,9,6,1.9,1.0,1,1,1088,56.0,2,1600,3,95.8,35.3,520,0,0,0,0,0,0,0,0,1823.1
2,2020102891,3,2,2022/12/28,8181,9,6,6.0,11,7,1.5,1.0,1,1,1088,55.0,2,1800,4,113.9,37.4,520,-2,0,0,0,0,0,0,0,750.0
3,2020102891,3,2,2022/12/03,8156,9,6,1.0,13,1,1.1,1.0,1,1,1088,55.0,2,1800,3,114.0,38.0,522,20,0,0,0,0,0,0,0,520.0
4,2020102891,3,2,2022/08/27,8056,1,5,5.0,7,3,1.7,1.0,0,1,5339,54.0,2,1700,4,106.3,37.6,502,0,0,0,0,0,0,0,0,280.0
2,2020103308,3,3,2023/06/24,8363,9,5,9.0,16,8,3.7,2.0,1,1,1180,55.0,2,2000,3,125.0,37.4,532,0,0,0,0,0,0,0,0,1585.7
3,2020103308,3,3,2023/05/21,8329,8,6,10.0,11,3,13.0,6.0,0,0,1180,56.0,2,1800,4,114.3,37.1,532,-2,0,0,0,0,0,0,0,190.0
4,2020103308,3,3,2023/03/25,8271,6,5,10.0,14,12,20.3,8.0,0,0,1077,56.0,2,1800,1,112.8,38.0,534,8,0,0,0,0,0,0,0,180.0
5,2020103308,3,3,2023/02/18,8233,9,5,8.0,16,2,15.7,6.0,1,1,1157,56.0,2,1800,4,114.2,37.1,526,-6,0,0,0,0,0,0,0,780.0
