,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
17,2009100921,0,0,2013/10/14,4757,0,6,11.0,13,12,0,0,0,0,0,2,1600,4,0,35.1,0,0,0,0,0,0,1,0,0,1035.0
18,2009100921,3,4,2013/06/26,4645,44,3,11.0,12,8,4.1,3,1,732,57,2,2000,1,123.0,36.7,501,12,1,0,0,0,1,0,0,6000.0
19,2009100921,3,4,2013/05/06,4594,43,6,11.0,11,7,2.4,2,1,732,57,2,1600,4,97.8,37.3,489,-9,0,0,0,0,1,0,0,6000.0
20,2009100921,3,4,2013/04/13,4570,9,6,11.0,16,10,2.8,1,1,5203,57,2,1800,4,109.7,35.5,498,2,0,0,0,0,0,0,0,3556.7
21,2009100921,0,0,2013/03/20,4546,0,3,9.0,12,5,0,0,0,0,0,2,1900,2,0,36.9,0,0,0,0,0,0,0,0,0,2100.0
15,2006106794,3,7,2013/09/23,4735,43,5,11.0,12,11,1.3,1,1,666,58,2,1800,4,110.3,37.0,502,-12,0,0,0,0,0,1,1,3200.0
16,2006106794,3,7,2013/06/26,4645,44,3,11.0,12,3,6.6,4,0,666,57,2,2000,1,123.5,37.3,514,-4,1,0,0,0,1,0,0,1200.0
17,2006106794,3,7,2013/02/17,4512,5,6,11.0,16,10,9.2,7,0,1018,57,2,1600,4,95.3,35.9,518,0,0,0,0,0,1,0,0,2448.6
18,2006106794,3,7,2013/01/30,4494,45,6,11.0,11,11,1.3,1,0,1018,57,2,2100,3,135.5,37.3,518,2,0,0,0,0,1,0,0,2100.0
19,2006106794,3,6,2012/12/29,4462,44,5,10.0,12,2,1.8,1,0,1018,57,2,2000,2,126.0,38.4,516,-6,1,0,0,0,1,0,0,1400.0
17,2007103215,3,6,2013/09/23,4735,43,5,11.0,12,6,3.1,2,0,1014,57,2,1800,4,110.3,37.2,458,-4,0,0,0,0,0,1,1,1120.0
18,2007103215,0,0,2013/07/15,4665,0,5,10.0,12,3,0,0,0,0,0,2,2000,2,0,36.8,0,0,0,0,0,0,0,0,0,2300.0
19,2007103215,3,6,2013/05/18,4606,8,6,11.0,16,10,12.6,4,0,1115,58,2,1900,4,118.1,37.1,470,0,0,0,0,0,0,0,0,0.0
20,2007103215,3,6,2013/04/13,4570,9,6,11.0,16,15,28.3,8,0,1115,58,2,1800,4,110.4,35.3,470,15,0,0,0,0,0,0,0,530.0
21,2007103215,3,6,2013/03/13,4539,43,6,11.0,14,10,4.4,2,0,422,56,2,2400,4,156.0,38.3,455,-15,0,0,0,0,0,1,1,640.0
32,2006102942,0,0,2013/10/08,4751,0,5,10.0,12,6,0,0,0,0,0,2,2100,4,0,39.0,0,0,0,0,0,0,0,0,0,0.0
33,2006102942,0,0,2013/09/22,4734,0,5,11.0,6,1,0,0,0,0,0,2,1500,4,0,37.9,0,0,0,0,0,0,0,0,0,70.0
34,2006102942,0,0,2013/08/11,4692,0,5,12.0,5,1,0,0,0,0,0,2,1500,4,0,37.7,0,0,0,0,0,0,0,0,0,14.0
35,2006102942,0,0,2013/07/14,4664,0,5,9.0,8,7,0,0,0,0,0,2,1700,1,0,39.0,0,0,0,0,0,0,0,0,0,70.0
36,2006102942,0,0,2013/06/16,4635,0,6,11.0,12,8,0,0,0,0,0,2,2300,4,0,42.0,0,0,0,0,0,0,0,0,0,60.0
28,2010104098,3,3,2013/07/10,4660,44,5,11.0,16,5,2.2,1,1,422,56,2,2000,4,124.8,37.4,493,-5,1,1,0,0,0,0,0,4500.0
29,2010104098,3,3,2013/05/19,4607,8,3,10.0,15,2,2.6,1.0,1,1102,56,2,1800,4,111.6,36.8,498,6,0,0,0,0,0,0,0,1836.4
30,2010104098,3,3,2013/04/06,4563,9,3,6.0,11,3,1.5,1,1,5115,56,2,1800,3,111.2,37.1,492,10,0,0,0,0,0,0,0,700.0
31,2010104098,3,3,2013/01/13,4477,6,6,9.0,16,3,1.7,1,0,1085,56,2,1800,4,116.0,37.9,482,0,0,0,0,0,0,0,0,391.4
32,2010104098,3,2,2012/12/23,4456,9,5,9.0,14,11,1.4,1.0,0,1102,55,2,1800,2,112.7,37.8,482,-2,0,0,0,0,0,0,0,390.2
91,2006104442,0,0,2013/10/08,4751,0,5,10.0,12,2,0,0,0,0,0,2,2100,4,0,39.0,0,0,0,0,0,0,0,0,0,0.0
92,2006104442,0,0,2013/09/22,4734,0,5,6.0,9,4,0,0,0,0,0,2,1900,3,0,39.9,0,0,0,0,0,0,0,0,0,60.0
93,2006104442,0,0,2013/09/10,4722,0,6,9.0,10,10,0,0,0,0,0,2,2000,4,0,39.5,0,0,0,0,0,0,0,0,0,18.0
94,2006104442,0,0,2013/08/25,4706,0,5,6.0,10,2,0,0,0,0,0,2,1400,1,0,38.3,0,0,0,0,0,0,0,0,0,3.0
95,2006104442,0,0,2013/08/10,4691,0,6,11.0,9,4,0,0,0,0,0,2,1400,4,0,40.4,0,0,0,0,0,0,0,0,0,3.8
27,2008106609,0,0,2013/10/09,4752,0,6,10.0,9,1,0,0,0,0,0,2,1700,1,0,39.5,0,0,0,0,0,0,0,0,0,0.0
28,2008106609,3,5,2013/05/29,4617,42,5,11.0,12,2,20.7,5,0,5053,56,2,1400,4,89.6,40.6,517,-3,0,0,0,0,0,1,1,0.0
29,2008106609,0,0,2013/04/29,4586,0,5,10.0,11,10,0,0,0,0,0,2,1400,4,0,37.6,0,0,0,0,0,0,0,0,0,273.0
30,2008106609,0,0,2013/04/05,4562,0,6,11.0,11,10,0,0,0,0,0,2,1400,4,0,37.4,0,0,0,0,0,0,0,0,0,250.0
31,2008106609,0,0,2013/03/20,4546,0,3,9.0,12,4,0,0,0,0,0,2,1900,2,0,39.3,0,0,0,0,0,0,0,0,0,126.0
4,2005101102,0,0,2013/10/08,4751,0,5,10.0,12,3,0,0,0,0,0,2,2100,4,0,39.4,0,0,0,0,0,0,0,0,0,0.0
5,2005101102,0,0,2013/09/10,4722,0,6,9.0,10,3,0,0,0,0,0,2,2000,4,0,40.0,0,0,0,0,0,0,0,0,0,14.0
6,2005101102,0,0,2013/08/25,4706,0,6,10.0,10,1,0,0,0,0,0,2,1700,3,0,38.8,0,0,0,0,0,0,0,0,0,27.0
7,2005101102,0,0,2013/07/14,4664,0,5,9.0,8,3,0,0,0,0,0,2,1700,1,0,38.5,0,0,0,0,0,0,0,0,0,14.0
