,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
2,2017103843,3,5,2022/12/29,8182,44,6,9.0,14,6,4.3,2.0,1,1140,57.0,2,2000,4,125.0,37.2,523,-1,1,0,0,0,1,0,0,10000.0
3,2017103843,3,5,2022/11/27,8149,9,6,11.0,16,3,3.0,1.0,1,1140,56.5,2,2000,3,123.7,37.3,524,6,0,0,0,0,0,0,0,2235.0
4,2017103843,3,5,2022/10/23,8114,5,6,11.0,15,11,2.8,1.0,1,1162,55.0,2,2100,4,130.0,35.5,518,-2,0,0,0,0,0,0,0,2337.8
5,2017103843,3,5,2022/09/18,8078,6,3,11.0,16,13,8.2,4.0,0,1162,56.0,2,1800,1,110.7,36.2,520,-2,0,0,0,0,0,0,0,554.8
6,2017103843,3,5,2022/04/30,7935,5,6,9.0,14,10,15.6,7.0,1,1140,57.0,2,2100,2,128.1,34.0,522,-2,0,0,0,0,0,0,0,1870.1
2,2017101010,3,5,2022/12/04,8157,7,6,11.0,16,12,1.5,1.0,0,1126,57.0,2,1800,4,112.2,36.8,494,-7,0,0,0,0,1,0,0,1800.0
3,2017101010,3,5,2022/11/03,8125,35,4,12.0,15,13,1.8,1.0,1,1126,57.0,2,2000,4,122.1,36.1,501,6,0,0,0,0,1,0,0,10000.0
4,2017101010,3,5,2022/06/29,7996,44,6,11.0,9,8,1.5,1.0,0,1126,57.0,2,2000,4,124.4,38.4,495,-5,1,0,0,0,1,0,0,800.0
5,2017101010,3,5,2022/05/21,7957,7,5,11.0,16,4,1.8,1.0,1,1126,59.0,2,1900,4,117.0,35.9,500,0,0,0,0,0,0,0,0,3856.7
6,2017101010,3,4,2021/12/05,7786,7,5,11.0,16,6,3.3,1.0,1,1126,57.0,2,1800,4,109.7,35.5,498,6,0,0,0,0,1,0,0,10340.2
5,2016105885,3,7,2023/01/08,8192,6,6,11.0,14,9,3.8,2.0,1,1152,58.0,2,1800,4,111.9,36.6,492,-4,0,0,0,0,0,0,0,2231.5
6,2016105885,3,6,2022/12/10,8163,6,6,11.0,16,4,3.7,2.0,0,1152,56.0,2,1800,4,111.9,37.1,496,10,0,0,0,0,0,0,0,930.2
7,2016105885,3,6,2022/07/24,8022,3,5,11.0,15,2,4.4,2.0,1,1152,56.0,2,1700,4,103.7,36.9,486,-4,0,0,0,0,0,0,0,2336.4
8,2016105885,3,6,2022/06/12,7979,7,6,11.0,15,2,5.7,3.0,0,1152,55.0,2,1800,4,111.0,37.2,490,-2,0,0,0,0,0,0,0,890.2
9,2016105885,3,6,2022/04/17,7922,9,6,11.0,16,10,69.4,13.0,0,1152,56.0,2,1800,4,110.9,36.9,492,2,0,0,0,0,0,0,0,958.2
7,2017103942,1,6,2023/01/25,8209,44,6,11.0,7,3,4.5,4.0,0,689,56.0,2,1800,4,115.0,38.5,454,3,1,0,0,0,0,0,0,220.0
8,2017103942,1,5,2022/11/30,8152,43,5,11.0,14,14,5.1,3.0,1,689,55.0,2,1800,3,114.4,40.8,451,6,0,0,0,0,0,0,0,2500.0
9,2017103942,1,5,2022/11/03,8125,35,5,10.0,11,4,13.7,5.0,0,689,55.0,2,1800,4,110.5,36.9,445,-2,0,0,0,0,1,0,0,0.0
10,2017103942,1,5,2022/10/06,8097,44,5,11.0,12,5,9.1,4.0,0,689,55.0,2,1800,2,111.9,37.6,447,-5,1,0,0,0,0,1,1,1085.0
11,2017103942,1,5,2022/08/11,8040,30,3,11.0,12,2,2.4,1.0,0,689,55.0,2,2000,1,125.9,39.9,452,2,0,0,0,0,0,0,0,651.0
