,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
15,2015104273,3,4,2019/05/18,6838,8,5,11.0,16,1,6.7,3.0,0,5212,59.0,2,1900,4,118.3,36.9,462,12,0,0,0,0,0,0,0,908.2
16,2015104273,3,4,2019/02/17,6744,5,6,11.0,14,14,6.2,3.0,0,5212,57.0,2,1600,4,97.3,36.4,450,2,0,0,0,0,1,0,0,0.0
17,2015104273,3,3,2018/12/29,6694,44,6,10.0,16,5,3.7,3.0,1,5212,55.0,2,2000,4,125.9,38.5,448,-4,1,0,0,0,1,0,0,8000.0
18,2015104273,3,3,2018/12/02,6667,7,6,11.0,15,11,9.2,4.0,0,5473,56.0,2,1800,4,111.1,36.0,452,-2,0,0,0,0,1,0,0,1000.0
19,2015104273,3,3,2018/11/04,6638,8,6,11.0,16,14,3.7,2.0,0,1018,55.0,2,1900,4,116.8,36.7,454,4,0,0,0,0,1,0,0,3697.2
12,2015104879,3,4,2019/05/18,6838,8,5,11.0,16,7,2.5,1.0,1,1088,58.0,2,1900,4,118.1,36.5,482,7,0,0,0,0,0,0,0,3657.4
13,2015104879,3,4,2019/03/13,6771,43,5,11.0,13,1,1.4,1.0,1,1088,55.0,2,2400,2,157.3,37.9,475,-5,0,0,0,0,0,1,1,3200.0
14,2015104879,3,4,2019/01/20,6716,7,5,11.0,13,3,4.8,2.0,0,1088,56.0,2,1800,4,110.1,35.8,480,3,0,0,0,0,0,1,1,2228.4
15,2015104879,3,3,2018/12/24,6689,48,6,11.0,9,8,2.9,2.0,1,1088,54.0,2,2500,3,160.7,37.4,477,1,0,0,0,0,0,1,1,3100.0
16,2015104879,3,3,2018/12/08,6673,6,6,11.0,16,12,3.9,2.0,0,1075,54.0,2,1800,4,111.3,36.7,476,4,0,0,0,0,0,0,0,890.0
19,2012104314,2,7,2019/02/17,6744,5,6,11.0,14,13,17.9,7.0,0,422,57.0,2,1600,4,97.9,36.9,452,6,0,0,0,0,1,0,0,0.0
20,2012104314,2,6,2018/12/02,6667,7,6,11.0,15,5,13.4,6.0,0,422,57.0,2,1800,4,111.2,35.7,446,0,0,0,0,0,1,0,0,0.0
21,2012104314,2,6,2018/11/04,6638,8,6,11.0,16,9,12.2,5.0,0,422,57.0,2,1900,4,117.1,36.3,446,2,0,0,0,0,1,0,0,1400.0
