,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
4,2016104458,3,3,2019/12/01,7038,7,6,11.0,16,5,4.4,2.0,1,1,1088,55.0,2,1800,4,108.5,35.4,550,11,0,0,0,0,1,0,0,10340.2
4,2013106119,3,6,2019/12/01,7038,7,6,11.0,16,11,3.5,1.0,0,1,5339,57.0,2,1800,4,108.5,35.4,536,10,0,0,0,0,1,0,0,4097.2
11,2014104052,3,5,2019/12/01,7038,7,6,11.0,16,4,4.7,3.0,0,1,666,57.0,2,1800,4,108.7,35.9,516,-4,0,0,0,0,1,0,0,2548.6
9,2015104879,3,4,2019/12/01,7038,7,6,11.0,16,3,6.7,5.0,0,0,1014,57.0,2,1800,4,108.8,35.5,482,1,0,0,0,0,1,0,0,1500.0
2,2011105960,3,8,2019/12/01,7038,7,6,11.0,16,12,181.9,13.0,0,0,1019,57.0,2,1800,4,109.1,35.0,466,-4,0,0,0,0,1,0,0,1000.0
12,2015104273,3,4,2019/12/01,7038,7,6,11.0,16,6,6.1,4.0,0,0,875,57.0,2,1800,4,109.2,35.9,452,-6,0,0,0,0,1,0,0,0.0
8,2013103618,3,6,2019/12/01,7038,7,6,11.0,16,16,47.8,10.0,0,0,732,57.0,2,1800,4,109.2,35.6,494,2,0,0,0,0,1,0,0,0.0
23,2015104107,3,4,2019/12/01,7038,7,6,11.0,16,1,30.0,8.0,0,0,5575,57.0,2,1800,4,109.2,35.6,474,10,0,0,0,0,1,0,0,0.0
11,2012104882,2,7,2019/12/01,7038,7,6,11.0,16,8,20.4,6.0,0,0,5271,57.0,2,1800,4,109.2,35.9,488,2,0,0,0,0,1,0,0,0.0
1,2013101999,3,6,2019/12/01,7038,7,6,11.0,16,15,275.0,14.0,0,0,5203,57.0,2,1800,4,109.3,36.4,526,12,0,0,0,0,1,0,0,0.0
11,2013102815,3,6,2019/12/01,7038,7,6,11.0,16,7,59.4,11.0,0,0,660,57.0,2,1800,4,109.4,35.5,532,4,0,0,0,0,1,0,0,0.0
5,2014101197,3,5,2019/12/01,7038,7,6,11.0,16,2,102.7,12.0,0,0,1116,57.0,2,1800,4,109.9,35.4,494,0,0,0,0,0,1,0,0,0.0
5,2012101502,3,7,2019/12/01,7038,7,6,11.0,16,10,332.9,15.0,0,0,1018,57.0,2,1800,4,110.3,36.4,480,9,0,0,0,0,1,0,0,0.0
19,2016106260,3,3,2019/12/01,7038,7,6,11.0,16,13,45.9,9.0,0,0,5212,55.0,2,1800,4,110.3,37.2,502,-2,0,0,0,0,1,0,0,0.0
21,2015100122,3,4,2019/12/01,7038,7,6,11.0,16,14,375.8,16.0,0,0,1128,57.0,2,1800,4,111.8,38.9,516,6,0,0,0,0,1,0,0,0.0
