,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
6,2015104879,3,5,2020/11/03,7381,44,5,10.0,15,14,8.0,3.0,0,1,5339,57.0,2,2000,3,123.4,38.1,483,-6,1,0,0,0,1,0,0,1600.0
7,2015104879,3,5,2020/06/24,7247,44,5,11.0,14,6,5.2,3.0,0,1,5339,57.0,2,2000,2,125.9,36.5,489,11,1,0,0,0,1,0,0,1200.0
8,2015104879,3,5,2020/01/29,7097,45,6,11.0,12,12,1.6,1.0,1,1,1088,57.0,2,2100,1,134.1,39.0,478,-4,0,0,0,0,1,0,0,6000.0
9,2015104879,3,4,2019/12/01,7038,7,6,11.0,16,3,6.7,5.0,0,0,1014,57.0,2,1800,4,108.8,35.5,482,1,0,0,0,0,1,0,0,1500.0
10,2015104879,3,4,2019/11/04,7010,42,6,10.0,11,8,1.6,1.0,1,1,1088,57.0,2,2000,2,126.1,37.0,481,11,0,0,0,0,1,0,0,8000.0
1,2013106119,3,7,2020/10/12,7359,35,3,11.0,16,16,4.9,3.0,0,0,5339,57.0,2,1600,3,93.5,35.6,530,0,0,0,0,0,1,0,0,0.0
2,2013106119,3,7,2020/05/23,7215,8,6,11.0,14,7,4.3,2.0,0,1,1093,58.0,2,1900,4,116.5,36.2,530,0,0,0,0,0,0,0,1,907.1
3,2013106119,3,6,2019/12/29,7066,44,6,10.0,13,12,2.3,1.0,0,0,5339,57.0,2,2000,3,125.6,39.3,523,-13,1,0,0,0,1,0,0,800.0
4,2013106119,3,6,2019/12/01,7038,7,6,11.0,16,11,3.5,1.0,0,1,5339,57.0,2,1800,4,108.5,35.4,536,10,0,0,0,0,1,0,0,4097.2
5,2013106119,3,6,2019/10/14,6989,35,5,11.0,16,13,1.3,1.0,0,1,5339,57.0,2,1600,4,94.7,35.9,526,8,0,0,0,0,1,0,0,630.0
