,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
16,1999107052,3,3,2002/10/20,671,8,3,11,18,3,11.4,5.0,0,0,705,57.0,1,3000,4,186.4,35.6,456,-4,0,0,0,0,1,0,0,1700.0
17,1999107052,3,3,2002/08/18,607,1,6,11,16,15,6.1,3.0,0,0,705,53.0,1,2000,4,119.8,34.6,460,20,0,0,0,0,0,1,0,960.0
18,1999107052,3,3,2002/05/26,522,5,5,10,18,5,25.1,8.0,0,0,705,57.0,1,2400,4,146.7,35.3,440,-10,0,0,0,0,1,0,0,0.0
19,1999107052,3,3,2002/04/14,479,6,6,11,18,8,10.7,4.0,0,0,705,57.0,1,2000,4,119.3,35.8,450,-12,0,0,0,0,1,0,0,0.0
20,1999107052,3,3,2002/03/16,450,9,6,11,11,8,1.8,1.0,0,1,705,56.0,1,2000,4,121.6,34.6,462,2,0,0,0,0,0,0,0,484.9
14,1997102034,1,5,2002/08/31,620,1,5,11,13,6,1.7,1.0,1,1,641,55.0,2,1700,4,103.6,37.4,474,7,0,0,0,0,0,0,1,4248.3
15,1997102034,1,5,2002/07/22,580,35,5,10,14,14,---,1.0,1,1,641,55.0,2,2000,2,126.4,,467,-5,0,0,0,0,0,0,1,3000.0
16,1997102034,1,5,2002/06/16,543,2,5,11,12,6,1.6,1.0,1,1,641,56.0,2,1700,4,103.9,36.9,472,0,0,0,0,0,0,0,0,2426.6
17,1997102034,1,5,2002/05/05,501,41,6,9,12,7,---,1.0,0,1,641,55.0,2,1500,4,94.6,,472,-5,0,0,0,0,0,0,1,1050.0
18,1997102034,1,5,2002/04/17,482,43,6,10,11,7,---,2.0,1,1,641,58.0,2,1600,4,100.4,38.6,477,9,0,0,0,0,0,0,1,3000.0
14,1997104910,3,5,2002/06/19,546,44,6,9,15,11,---,6.0,1,1,657,57.0,2,2000,3,123.7,37.7,546,-4,1,0,0,0,1,0,0,8000.0
15,1997104910,3,5,2002/05/19,515,7,6,11,14,4,7.2,4.0,0,0,0,57.0,2,2300,2,143.2,38.3,550,6,0,0,0,0,0,1,0,580.0
16,1997104910,3,5,2002/04/20,485,5,5,11,15,14,3.5,2.0,1,1,733,57.0,2,2100,4,131.4,38.0,544,-4,0,0,0,0,0,0,0,1835.0
17,1997104910,3,5,2002/04/07,472,9,5,10,12,10,1.4,1.0,0,1,657,57.0,2,1800,3,110.4,37.5,548,-6,0,0,0,0,0,0,0,727.6
18,1997104910,3,5,2002/03/16,450,9,6,10,14,6,2.9,1.0,0,1,657,58.0,2,1800,4,111.8,38.4,554,6,0,0,0,0,0,0,0,454.2
12,1996104207,3,6,2002/06/19,546,44,6,9,15,14,---,7.0,0,0,733,57.0,2,2000,3,124.4,37.3,535,-5,1,0,0,0,1,0,0,800.0
13,1996104207,3,6,2002/05/19,515,7,6,11,14,7,15.4,6.0,0,0,1026,59.0,2,2300,2,143.5,37.4,540,4,0,0,0,0,0,1,0,0.0
14,1996104207,3,6,2002/04/21,486,8,3,11,16,8,45.2,11.0,0,0,733,58.5,2,1800,1,109.3,36.3,536,-4,0,0,0,0,0,0,1,630.0
