,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
3,2017101010,3,5,2022/11/03,8125,35,4,12.0,15,13,1.8,1.0,1,1,1126,57.0,2,2000,4,122.1,36.1,501,6,0,0,0,0,1,0,0,10000.0
2,2019104678,3,3,2022/11/03,8125,35,4,12.0,15,4,4.4,2.0,0,1,1014,55.0,2,2000,4,122.5,36.8,501,-1,0,0,0,0,1,0,0,3500.0
5,2019104245,3,3,2022/11/03,8125,35,4,12.0,15,8,12.8,4.0,0,1,1179,55.0,2,2000,4,122.7,36.9,496,5,0,0,0,0,1,0,0,2000.0
3,2018101012,3,4,2022/11/03,8125,35,4,12.0,15,9,36.3,8.0,0,0,666,57.0,2,2000,4,123.0,35.9,490,8,0,0,0,0,1,0,0,1000.0
4,2017106404,3,5,2022/11/03,8125,35,4,12.0,15,6,5.7,3.0,0,0,1115,57.0,2,2000,4,123.3,36.7,504,4,0,0,0,0,1,0,0,500.0
8,2016101455,3,6,2022/11/03,8125,35,4,12.0,15,12,13.7,6.0,0,0,1088,57.0,2,2000,4,123.3,37.2,476,2,0,0,0,0,1,0,0,0.0
7,2019105656,3,3,2022/11/03,8125,35,4,12.0,15,11,13.3,5.0,0,0,1163,55.0,2,2000,4,123.7,37.5,537,-4,0,0,0,0,1,0,0,0.0
7,2018104033,3,4,2022/11/03,8125,35,4,12.0,15,5,174.8,10.0,0,0,5399,57.0,2,2000,4,124.1,37.2,475,3,0,0,0,0,1,0,0,0.0
7,2018106265,3,4,2022/11/03,8125,35,4,12.0,15,1,154.1,9.0,0,0,5443,57.0,2,2000,4,124.2,36.9,526,-5,0,0,0,0,1,0,0,0.0
6,2017102025,3,5,2022/11/03,8125,35,4,12.0,15,3,387.6,11.0,0,0,5294,57.0,2,2000,4,124.2,37.2,495,-3,0,0,0,0,1,0,0,0.0
0,2014104735,3,8,2022/11/03,8125,35,4,12.0,15,7,24.0,7.0,0,0,5488,57.0,2,2000,4,124.6,38.8,536,-1,0,0,0,0,1,0,0,0.0
13,2013101965,3,9,2022/11/03,8125,35,4,12.0,15,14,781.0,14.0,0,0,5380,57.0,2,2000,4,125.3,37.6,483,-1,0,0,0,0,1,0,0,0.0
9,2016105316,3,6,2022/11/03,8125,35,4,12.0,15,2,487.4,12.0,0,0,5299,57.0,2,2000,4,126.1,37.9,463,-8,0,0,0,0,1,0,0,0.0
9,2016103323,3,6,2022/11/03,8125,35,4,12.0,15,15,877.2,15.0,0,0,5490,57.0,2,2000,4,126.3,38.0,493,1,0,0,0,0,1,0,0,0.0
14,2017102571,1,5,2022/11/03,8125,35,4,12.0,15,10,775.5,13.0,0,0,655866,55.0,2,2000,4,128.1,39.4,477,-2,0,0,0,0,1,0,0,0.0
