,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
8,2001104554,3,5,2006/06/28,2043,44,6,11,13,2,2.2,2.0,1,1,422,57.0,2,2000,4,122.1,37.0,514,-16,1,0,0,0,1,0,0,7000.0
9,2002100978,3,4,2006/06/28,2043,44,6,11,13,6,1.6,1.0,0,1,666,57.0,2,2000,4,122.3,36.9,524,0,1,0,0,0,1,0,0,2450.0
18,2000101634,3,6,2006/06/28,2043,44,6,11,13,3,23.1,5.0,0,1,5203,57.0,2,2000,4,123.4,37.7,521,-1,1,0,0,0,1,0,0,1400.0
3,1998101683,3,8,2006/06/28,2043,44,6,11,13,7,17.7,4.0,0,0,945,57.0,2,2000,4,124.1,37.8,452,-10,1,0,0,0,1,0,0,700.0
56,2002106491,3,4,2006/06/28,2043,44,6,11,13,12,54.1,7.0,0,0,817,57.0,2,2000,4,124.1,37.1,468,1,1,0,0,0,1,0,0,350.0
20,1998106845,3,8,2006/06/28,2043,44,6,11,13,1,283.5,9.0,0,0,5352,57.0,2,2000,4,124.3,38.2,440,-2,1,0,0,0,1,0,0,0.0
19,1998109179,3,8,2006/06/28,2043,44,6,11,13,4,377.7,11.0,0,0,582,57.0,2,2000,4,124.6,38.5,459,1,1,0,0,0,1,0,0,0.0
4,2000110003,3,6,2006/06/28,2043,44,6,11,13,8,28.8,6.0,0,0,5386,57.0,2,2000,4,124.8,38.7,500,-5,1,0,0,0,1,0,0,0.0
4,1999104425,3,7,2006/06/28,2043,44,6,11,13,5,135.3,8.0,0,0,0,57.0,2,2000,4,125.1,38.6,516,-12,1,0,0,0,1,0,0,0.0
12,2001100583,3,5,2006/06/28,2043,44,6,11,13,13,14.7,3.0,0,0,711,57.0,2,2000,4,125.4,39.8,531,9,1,0,0,0,1,0,0,0.0
11,2000100570,3,6,2006/06/28,2043,44,6,11,13,11,421.4,12.0,0,0,872,57.0,2,2000,4,127.1,41.1,496,-2,1,0,0,0,1,0,0,0.0
2,2000100260,3,6,2006/06/28,2043,44,6,11,13,9,301.8,10.0,0,0,5000,57.0,2,2000,4,127.4,40.6,450,1,1,0,0,0,1,0,0,0.0
0,1998106245,3,8,2006/06/28,2043,44,6,11,13,10,475.6,13.0,0,0,0,57.0,2,2000,4,130.1,41.9,427,1,1,0,0,0,1,0,0,0.0
