,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
47,2002106491,3,5,2007/06/09,2396,5,5,11,12,7,5.1,3.0,0,1,666,56.0,2,2100,4,130.8,36.9,480,3,0,0,0,0,0,0,0,604.5
48,2002106491,3,5,2007/05/02,2358,43,6,10,14,13,26.1,5.0,0,0,666,57.0,2,1600,3,98.2,36.9,477,7,0,0,0,0,1,0,0,600.0
49,2002106491,3,5,2007/04/08,2333,6,6,11,8,3,20.9,7.0,0,0,711,58.0,1,2000,4,120.9,35.5,470,-2,0,0,0,0,0,0,0,0.0
50,2002106491,3,5,2007/02/21,2284,44,6,11,11,5,2.7,2.0,1,1,422,58.0,2,2000,3,127.3,37.8,472,-3,1,0,0,0,0,0,0,3000.0
51,2002106491,3,5,2007/01/31,2263,45,6,10,13,10,22.3,4.0,0,0,817,57.0,2,2100,4,135.5,38.7,475,-8,0,0,0,0,1,0,0,0.0
14,2000107570,3,7,2007/05/02,2358,43,6,10,14,10,2.0,1.0,1,1,732,57.0,2,1600,3,97.4,36.3,510,-5,0,0,0,0,1,0,0,6000.0
15,2000107570,3,7,2007/03/28,2322,48,6,10,12,11,1.3,1.0,0,1,732,59.0,2,1900,4,124.7,,515,-1,0,0,0,0,0,0,1,360.0
16,2000107570,3,7,2007/02/18,2281,5,6,11,16,7,4.0,2.0,0,1,732,57.0,2,1600,1,95.0,35.0,516,8,0,0,0,0,1,0,0,3903.2
17,2000107570,3,6,2006/12/29,2230,44,6,10,13,12,5.0,3.0,1,1,732,57.0,2,2000,3,123.5,37.3,508,-2,1,0,0,0,1,0,0,8000.0
18,2000107570,3,6,2006/11/25,2195,5,6,11,15,6,6.3,2.0,0,0,732,57.0,2,2100,4,129.5,36.9,510,4,0,0,0,0,1,0,0,0.0
19,2002106896,3,5,2007/05/02,2358,43,6,10,14,14,2.6,2.0,0,0,945,57.0,2,1600,3,98.3,37.0,482,-2,0,0,0,0,1,0,0,300.0
20,2002106896,3,5,2007/02/18,2281,5,6,11,16,12,5.9,3.0,1,1,945,57.0,2,1600,1,94.8,35.0,484,-2,0,0,0,0,1,0,0,9761.2
21,2002106896,3,5,2007/01/21,2253,8,5,11,16,12,7.4,3.0,0,1,945,56.0,2,1800,4,111.0,35.6,486,14,0,0,0,0,0,0,1,1617.6
22,2002106896,3,4,2006/11/25,2195,5,6,11,15,12,6.9,3.0,0,0,945,57.0,2,2100,4,129.1,36.2,472,6,0,0,0,0,1,0,0,1300.0
23,2002106896,3,4,2006/10/28,2167,5,6,11,16,5,13.5,6.0,0,1,711,57.0,2,1600,4,95.4,35.9,466,4,0,0,0,0,0,0,1,1616.4
16,2003104288,3,4,2007/05/03,2359,50,6,10,11,3,2.0,1.0,1,1,5328,56.0,2,2400,4,163.4,38.0,519,10,0,0,0,0,0,0,0,550.0
17,2003104288,3,4,2007/03/28,2322,48,6,10,12,10,103.3,7.0,0,0,5328,56.0,2,1900,4,125.0,,509,-2,0,0,0,0,0,0,1,150.0
18,2003104288,3,4,2007/02/23,2286,48,5,11,12,10,2.9,2.0,0,1,5364,57.0,2,1800,3,116.6,38.5,511,-8,0,0,0,0,0,0,0,69.0
19,2003104288,3,4,2007/01/25,2257,50,6,11,10,6,2.6,2.0,1,1,5328,54.0,2,1400,4,89.6,,519,29,0,0,0,0,0,0,0,150.0
20,2003104288,3,3,2006/07/19,2065,50,5,10,8,2,1.8,2.0,1,1,5328,54.0,2,1700,1,108.4,,490,-2,0,0,0,0,0,0,0,350.0
4,2001110220,3,6,2007/02/18,2281,5,6,11,16,4,3.9,1.0,0,0,666,57.0,2,1600,1,95.6,35.7,486,8,0,0,0,0,1,0,0,0.0
5,2001110220,3,5,2006/12/29,2230,44,6,10,13,11,2.7,2.0,0,1,660,57.0,2,2000,3,124.3,38.5,478,-8,1,0,0,0,1,0,0,1600.0
6,2001110220,3,5,2006/11/25,2195,5,6,11,15,7,2.3,1.0,0,1,666,57.0,2,2100,4,128.7,36.3,486,4,0,0,0,0,1,0,0,5294.8
7,2001110220,3,5,2006/11/03,2173,45,6,10,14,1,1.6,1.0,0,1,666,57.0,2,2100,4,136.3,39.2,482,-6,0,0,0,0,1,0,0,3500.0
8,2001110220,3,5,2006/10/09,2148,35,6,10,14,7,1.3,1.0,0,0,666,57.0,2,1600,4,96.8,,488,4,0,0,0,0,1,0,0,780.0
8,2002110108,3,5,2007/05/23,2379,44,6,10,16,7,3.4,1.0,0,0,422,58.0,2,2600,4,169.3,39.7,527,3,1,0,0,0,0,0,0,0.0
9,2002110108,3,5,2007/03/25,2319,6,5,11,15,1,23.3,11.0,0,0,5386,55.0,2,1800,3,115.6,42.6,524,-3,0,0,0,0,0,0,1,0.0
10,2002110108,3,5,2007/02/07,2270,43,5,10,10,3,5.8,2.0,0,1,5386,55.0,2,1800,4,111.5,37.9,527,3,0,0,0,0,0,0,0,420.0
11,2002110108,3,4,2006/12/29,2230,44,6,10,13,5,35.9,8.0,0,0,5386,57.0,2,2000,3,126.3,40.1,524,-5,1,0,0,0,1,0,0,0.0
12,2002110108,3,4,2006/12/06,2207,43,6,11,11,10,2.8,2.0,0,0,422,56.0,2,1700,3,108.1,39.4,529,11,0,0,0,0,0,0,0,36.0
6,1999101279,3,8,2007/05/20,2376,7,6,11,16,10,52.6,13.0,0,0,1037,57.0,2,2300,4,148.3,39.0,538,-2,0,0,0,0,0,1,0,0.0
7,1999101279,3,8,2007/05/03,2359,48,6,10,11,10,18.5,5.0,0,0,1018,57.0,2,1400,4,88.7,39.9,540,4,0,0,0,0,0,0,1,120.0
8,1999101279,3,8,2007/04/22,2347,8,4,11,16,16,45.4,11.0,0,0,1018,57.0,2,1800,4,112.0,38.0,536,-2,0,0,0,0,0,0,1,0.0
9,1999101279,3,8,2007/03/25,2319,6,5,11,15,6,9.7,5.0,0,0,1018,57.5,2,1800,3,112.5,39.9,538,0,0,0,0,0,0,0,1,0.0
10,1999101279,3,8,2007/03/07,2301,43,6,10,14,9,6.4,4.0,0,1,1018,56.0,2,2400,2,154.3,39.8,538,-3,0,0,0,0,0,1,0,1400.0
30,2000102789,3,7,2007/06/17,2404,46,6,10,10,10,1.3,1.0,1,1,5349,57.0,2,2300,4,153.4,,452,-5,0,0,0,0,0,0,0,400.0
31,2000102789,3,7,2007/06/03,2390,46,6,9,10,8,3.9,2.0,1,1,5349,55.0,2,1700,4,110.9,,457,12,0,0,0,0,0,0,0,100.0
32,2000102789,3,7,2007/04/08,2333,46,6,10,10,7,1.4,1.0,0,1,5349,56.0,2,1900,4,125.0,,445,5,0,0,0,0,0,0,0,48.3
33,2000102789,3,7,2007/03/28,2322,48,6,10,12,2,213.2,8.0,0,0,5171,56.0,2,1900,4,126.2,,440,-9,0,0,0,0,0,0,1,0.0
34,2000102789,3,7,2007/02/23,2286,48,5,11,12,2,2.5,1.0,0,0,5349,57.0,2,1800,3,118.2,39.3,449,1,0,0,0,0,0,0,0,15.0
8,2002102589,1,5,2007/05/23,2379,44,6,10,16,15,13.9,5.0,0,1,5420,55.0,2,2600,4,168.2,37.4,467,1,1,0,0,0,0,0,0,600.0
9,2002102589,1,5,2007/04/18,2343,44,3,11,16,15,29.5,6.0,0,1,5420,55.0,2,1600,1,99.3,39.0,466,7,1,0,0,0,0,0,0,1225.0
10,2002102589,1,5,2007/02/21,2284,44,6,11,11,7,82.0,9.0,0,1,5420,56.0,2,2000,3,128.0,38.4,459,2,1,0,0,0,0,0,0,600.0
11,2002102589,1,5,2007/01/24,2256,44,6,11,14,5,10.7,5.0,0,0,5420,54.0,2,1800,4,113.7,38.3,457,-3,1,0,0,0,0,0,1,0.0
12,2002102589,1,4,2006/12/06,2207,43,6,10,14,3,9.8,6.0,0,0,5420,54.0,2,1800,3,114.0,39.0,460,-6,0,0,0,0,0,0,1,0.0
5,2001101225,1,6,2007/05/23,2379,44,6,10,16,11,3.9,3.0,0,0,5000,56.0,2,2600,4,168.2,38.8,534,-2,1,0,0,0,0,0,0,300.0
6,2001101225,1,6,2007/04/04,2329,43,6,10,14,6,1.8,1.0,1,1,422,57.0,2,1600,1,97.3,36.4,536,5,0,0,0,0,0,0,1,3000.0
7,2001101225,1,6,2007/02/28,2291,45,6,10,12,10,4.9,4.0,1,1,422,55.0,2,2100,4,136.4,38.2,531,-5,0,0,0,0,0,1,0,4000.0
8,2001101225,1,6,2007/01/24,2256,44,6,11,14,2,2.5,1.0,0,1,422,55.0,2,1800,4,112.7,37.9,536,-1,1,0,0,0,0,0,1,1050.0
9,2001101225,1,5,2006/12/06,2207,43,6,10,14,6,14.4,7.0,0,1,422,56.0,2,1800,3,113.4,38.7,537,33,0,0,0,0,0,0,1,1050.0
35,2002102938,3,5,2007/05/30,2386,42,3,10,12,2,3.7,3.0,0,0,5404,56.0,2,1400,3,86.5,37.1,477,5,0,0,0,0,0,0,1,300.0
36,2002102938,3,5,2007/04/18,2343,44,3,11,16,14,1.4,1.0,1,1,5404,56.0,2,1600,1,99.3,39.4,472,-2,1,0,0,0,0,0,0,3500.0
37,2002102938,3,5,2007/03/14,2308,44,6,11,16,11,1.6,1.0,1,1,5404,58.0,2,1200,4,71.8,37.1,474,-2,1,0,0,0,0,0,0,1500.0
38,2002102938,3,5,2007/02/22,2285,44,6,11,16,3,2.0,1.0,1,1,5404,55.0,2,1200,3,71.9,36.3,476,-7,1,0,0,0,0,0,0,800.0
39,2002102938,3,4,2006/12/31,2232,44,6,10,13,3,1.4,1.0,1,1,5404,55.0,2,1600,4,100.6,38.3,483,7,1,0,0,0,0,0,0,540.0
51,2002100584,3,5,2007/05/23,2379,44,6,10,16,3,7.9,4.0,1,1,426,57.0,2,2600,4,167.6,38.0,530,-5,1,0,0,0,0,0,0,3000.0
52,2002100584,3,5,2007/03/07,2301,43,6,10,14,5,13.2,7.0,0,0,5230,56.0,2,2400,2,156.4,41.9,535,3,0,0,0,0,0,1,0,0.0
53,2002100584,3,5,2007/02/21,2284,44,6,11,11,10,5.4,3.0,0,0,5230,58.0,2,2000,3,128.3,39.3,532,-3,1,0,0,0,0,0,0,150.0
54,2002100584,3,4,2006/12/06,2207,43,6,11,11,6,2.2,1.0,0,1,5230,57.0,2,1700,3,107.3,39.2,535,10,0,0,0,0,0,0,0,135.0
55,2002100584,3,4,2006/11/03,2173,45,6,10,14,3,31.5,8.0,0,0,5000,57.0,2,2100,4,137.8,41.0,525,-3,0,0,0,0,1,0,0,0.0
23,2000105456,3,7,2007/05/31,2387,47,6,10,8,1,1.3,1.0,1,1,5161,57.0,2,1800,4,116.9,,524,-3,0,0,0,0,0,0,0,170.0
24,2000105456,3,7,2007/04/27,2352,47,6,10,10,9,1.9,1.0,0,0,5161,57.0,2,1900,4,123.7,,527,8,0,0,0,0,0,0,0,13.5
25,2000105456,3,6,2006/11/24,2194,47,6,9,10,7,1.7,1.0,1,1,5161,57.0,2,1400,4,88.3,,519,-22,0,0,0,0,0,0,0,350.0
26,2000105456,3,6,2006/05/31,2015,47,6,10,9,4,1.3,1.0,0,1,5161,54.0,2,1800,4,115.8,,541,8,0,0,0,0,0,0,0,42.5
27,2000105456,3,5,2005/06/01,1644,47,6,11,9,5,---,1.0,1,1,5161,56.0,2,1800,4,116.6,,533,15,0,0,0,0,0,0,0,170.0
13,2002105358,3,5,2007/05/30,2386,42,3,10,12,6,6.5,4.0,0,0,5000,57.0,2,1400,3,86.7,37.9,499,5,0,0,0,0,0,0,1,0.0
14,2002105358,3,5,2007/05/02,2358,43,6,10,14,9,68.1,7.0,0,1,5000,57.0,2,1600,3,98.2,37.1,494,4,0,0,0,0,1,0,0,1200.0
15,2002105358,3,4,2006/08/26,2103,10,5,10,12,9,18.9,6.0,0,0,652,57.0,1,1200,4,68.0,34.8,490,2,0,0,0,0,0,0,0,270.0
16,2002105358,3,4,2006/07/23,2069,10,3,10,9,7,4.2,2.0,0,0,1018,55.0,1,1200,3,68.4,34.6,488,8,0,0,0,0,0,0,0,240.0
17,2002105358,3,4,2006/07/16,2062,10,6,10,15,13,14.6,7.0,0,0,1018,57.5,1,1800,4,107.2,37.7,480,-8,0,0,0,0,0,0,0,0.0
13,1998105857,3,8,2006/11/22,2192,42,6,10,11,3,26.4,6.0,1,1,5230,56.0,2,2000,2,126.5,37.4,509,-3,0,0,0,0,0,1,0,3500.0
14,1998105857,3,7,2005/12/23,1852,45,6,10,12,7,---,5.0,1,1,422,55.0,2,2000,4,128.0,38.6,512,0,0,0,0,0,0,0,0,1600.0
15,1998105857,3,7,2005/10/19,1786,42,5,10,11,2,---,4.0,1,1,423,54.0,2,1900,2,118.1,37.4,512,-6,0,0,0,0,0,0,0,1000.0
16,1998105857,3,7,2005/09/15,1751,44,5,10,14,1,---,1.0,0,0,422,54.0,2,1800,4,113.9,39.5,518,4,1,0,0,0,0,0,0,36.8
17,1998105857,3,7,2005/08/03,1708,44,6,9,11,8,---,1.0,0,0,422,52.5,2,1600,4,100.4,39.9,514,1,1,0,0,0,0,0,0,0.0
