,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
17,2000107570,3,6,2006/12/29,2230,44,6,10,13,12,5.0,3.0,1,1,732,57.0,2,2000,3,123.5,37.3,508,-2,1,0,0,0,1,0,0,8000.0
13,1999101279,3,7,2006/12/29,2230,44,6,10,13,1,94.5,9.0,0,1,1018,57.0,2,2000,3,124.2,38.3,533,3,1,0,0,0,1,0,0,2800.0
5,2001110220,3,5,2006/12/29,2230,44,6,10,13,11,2.7,2.0,0,1,660,57.0,2,2000,3,124.3,38.5,478,-8,1,0,0,0,1,0,0,1600.0
12,2001110184,3,5,2006/12/29,2230,44,6,10,13,4,11.0,4.0,0,0,5203,57.0,2,2000,3,124.4,38.2,508,4,1,0,0,0,1,0,0,800.0
7,2001104554,3,5,2006/12/29,2230,44,6,10,13,9,2.2,1.0,0,0,422,57.0,2,2000,3,124.6,38.6,532,18,1,0,0,0,1,0,0,400.0
52,2002106491,3,4,2006/12/29,2230,44,6,10,13,13,14.5,5.0,0,0,817,57.0,2,2000,3,124.6,38.2,483,8,1,0,0,0,1,0,0,0.0
0,2000106146,3,6,2006/12/29,2230,44,6,10,13,10,18.3,6.0,0,0,1093,57.0,2,2000,3,125.0,39.1,478,-6,1,0,0,0,1,0,0,0.0
16,1998109179,3,8,2006/12/29,2230,44,6,10,13,3,236.6,11.0,0,0,5404,57.0,2,2000,3,125.5,39.3,468,1,1,0,0,0,1,0,0,0.0
11,2002110108,3,4,2006/12/29,2230,44,6,10,13,5,35.9,8.0,0,0,5386,57.0,2,2000,3,126.3,40.1,524,-5,1,0,0,0,1,0,0,0.0
15,1998106845,3,8,2006/12/29,2230,44,6,10,13,8,382.8,12.0,0,0,426,57.0,2,2000,3,126.6,40.2,451,2,1,0,0,0,1,0,0,0.0
9,1999107226,2,7,2006/12/29,2230,44,6,10,13,7,188.4,10.0,0,0,5481,57.0,2,2000,3,126.6,39.8,518,-9,1,0,0,0,1,0,0,0.0
13,1999104222,3,7,2006/12/29,2230,44,6,10,13,6,404.8,13.0,0,0,5409,57.0,2,2000,3,127.4,39.2,466,1,1,0,0,0,1,0,0,0.0
12,2000104545,3,6,2006/12/29,2230,44,6,10,13,2,33.9,7.0,0,0,5000,57.0,2,2000,3,131.5,45.7,477,5,1,0,0,0,1,0,0,0.0
