,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
7,2002100978,3,6,2008/12/07,2952,9,6,11.0,15,10,9.8,4.0,1,1,5339,57.0,2,1800,4,109.2,36.4,530,-4,0,0,0,0,1,0,0,13357.0
8,2002100978,3,6,2008/11/08,2922,5,5,11.0,16,1,6.4,2.0,0,0,666,58.0,2,1600,4,96.6,36.7,534,10,0,0,0,0,0,0,1,0.0
9,2002100978,3,4,2006/06/28,2043,44,6,11.0,13,6,1.6,1.0,0,1,666,57.0,2,2000,4,122.3,36.9,524,0,1,0,0,0,1,0,0,2450.0
10,2002100978,3,4,2006/02/19,1910,5,5,11.0,16,14,2.7,1.0,1,1,666,57.0,2,1600,4,94.9,35.7,516,2,0,0,0,0,1,0,0,9744.4
11,2002100978,3,3,2005/11/26,1824,5,6,11.0,16,10,2.1,1.0,1,1,666,55.0,2,2100,4,128.0,36.2,514,4,0,0,0,0,1,0,0,13357.0
9,2002100877,3,6,2008/12/07,2952,9,6,11.0,15,6,2.2,1.0,0,1,5203,57.0,2,1800,4,109.3,36.2,524,12,0,0,0,0,1,0,0,3351.0
10,2002100877,3,6,2008/11/03,2917,50,5,10.0,12,2,1.9,1.0,1,1,666,57.0,2,1870,4,116.7,36.8,512,0,0,0,0,0,1,0,0,10000.0
11,2002100877,3,6,2008/02/24,2659,5,6,11.0,16,15,2.4,1.0,1,1,666,57.0,2,1600,4,95.3,35.9,520,7,0,0,0,0,1,0,0,9752.8
12,2002100877,3,5,2007/12/29,2602,44,5,10.0,15,13,1.3,1.0,1,1,666,57.0,2,2000,1,123.2,36.3,513,3,1,0,0,0,1,0,0,8000.0
13,2002100877,3,5,2007/11/24,2566,5,6,11.0,16,7,2.3,1.0,1,1,666,57.0,2,2100,4,126.7,36.2,510,-5,0,0,0,0,1,0,0,13361.2
11,2005106204,3,3,2008/12/07,2952,9,6,11.0,15,7,4.4,2.0,0,0,660,56.0,2,1800,4,109.9,37.3,522,1,0,0,0,0,1,0,0,0.0
12,2005106204,3,3,2008/11/03,2917,50,5,10.0,12,1,2.2,2.0,0,1,660,55.0,2,1870,4,116.8,37.5,521,7,0,0,0,0,1,0,0,3500.0
13,2005106204,3,3,2008/07/09,2799,44,5,11.0,15,11,1.2,1.0,1,1,660,56.0,2,2000,1,124.5,36.6,514,12,1,1,0,0,0,0,0,5000.0
14,2005106204,3,3,2008/06/01,2760,5,6,10.0,18,2,8.3,3.0,0,0,660,57.0,1,2400,4,148.9,37.2,502,-10,0,0,0,0,1,0,0,0.0
15,2005106204,3,3,2008/05/03,2731,8,6,10.0,15,8,1.4,1.0,1,1,660,57.0,2,1800,4,111.2,37.8,512,-10,0,0,0,0,0,0,0,1932.9
4,2000107570,3,8,2008/12/07,2952,9,6,11.0,15,12,36.3,11.0,0,0,732,57.0,2,1800,4,109.6,36.6,510,-4,0,0,0,0,1,0,0,1300.0
5,2000107570,3,8,2008/11/03,2917,50,5,9.0,12,7,1.7,1.0,0,0,732,57.0,2,1400,4,86.5,37.2,514,10,0,0,0,0,1,0,0,800.0
6,2000107570,3,8,2008/10/13,2896,35,6,10.0,14,14,2.2,2.0,1,1,732,57.0,2,1600,4,97.3,,504,6,0,0,0,0,1,0,0,5000.0
7,2000107570,3,8,2008/05/05,2733,43,5,10.0,14,1,1.8,1.0,0,1,732,57.0,2,1600,3,97.8,37.6,498,-10,0,0,0,0,1,0,0,2100.0
8,2000107570,3,8,2008/02/24,2659,5,6,11.0,16,10,19.4,7.0,0,1,732,57.0,2,1600,4,95.6,36.2,508,1,0,0,0,0,1,0,0,3900.8
21,2004106867,3,4,2008/12/07,2952,9,6,11.0,15,14,47.6,12.0,0,0,5386,57.0,2,1800,4,109.9,37.2,508,17,0,0,0,0,1,0,0,0.0
22,2004106867,3,4,2008/11/03,2917,50,5,10.0,12,12,7.9,3.0,0,0,5386,57.0,2,1870,4,117.3,37.8,491,-7,0,0,0,0,1,0,0,1000.0
23,2004106867,3,4,2008/09/23,2875,43,6,10.0,14,3,1.8,1.0,0,1,655943,58.0,2,1800,1,107.9,38.1,498,-9,0,0,0,0,0,1,0,1400.0
24,2004106867,3,4,2008/06/25,2784,44,5,11.0,13,1,2.5,1.0,1,1,5386,57.0,2,2000,3,124.7,37.6,507,3,1,0,0,0,1,0,0,7000.0
25,2004106867,3,4,2008/03/05,2671,43,6,10.0,13,14,1.7,1.0,1,1,5386,55.0,2,2400,4,154.7,39.2,504,9,0,0,0,0,0,1,0,4000.0
34,2002106491,3,6,2008/12/07,2952,9,6,11.0,15,16,50.1,13.0,0,0,422,57.0,2,1800,4,110.8,37.2,494,-2,0,0,0,0,1,0,0,0.0
35,2002106491,3,6,2008/11/03,2917,50,5,10.0,12,11,12.0,4.0,0,0,422,57.0,2,1870,4,118.4,37.8,496,1,0,0,0,0,1,0,0,0.0
36,2002106491,3,6,2008/09/23,2875,43,6,10.0,14,8,4.1,2.0,1,1,817,58.0,2,1800,1,107.8,37.4,495,-1,0,0,0,0,0,1,0,4000.0
37,2002106491,3,6,2008/06/25,2784,44,5,11.0,13,6,4.2,3.0,0,1,817,57.0,2,2000,3,124.9,36.9,496,5,1,0,0,0,1,0,0,2450.0
38,2002106491,3,6,2008/05/05,2733,43,5,10.0,14,7,12.6,3.0,1,1,817,57.0,2,1600,3,97.6,37.2,491,-1,0,0,0,0,1,0,0,6000.0
2,2004105924,3,4,2008/12/03,2948,44,6,11.0,16,10,2.3,1.0,1,1,5396,55.0,2,1800,3,113.3,38.4,543,6,1,0,0,0,0,0,0,800.0
3,2004105924,3,4,2008/11/11,2925,44,5,10.0,14,9,2.5,2.0,1,1,5396,56.0,2,1800,4,113.6,38.4,537,5,1,0,0,0,0,0,0,900.0
4,2004105924,3,4,2008/10/06,2889,44,5,9.0,12,1,1.2,1.0,1,1,5396,56.0,2,1600,1,101.0,40.6,532,0,1,0,0,0,0,0,0,320.0
5,2004105924,3,4,2008/09/18,2870,44,5,10.0,14,7,1.5,1.0,1,1,5396,56.0,2,1800,3,113.0,38.4,532,-5,1,0,0,0,0,0,0,400.0
6,2004105924,3,4,2008/09/03,2855,44,6,11.0,13,7,2.6,1.0,1,1,5396,55.0,2,1800,4,112.1,36.4,537,2,1,0,0,0,0,0,0,290.0
128,2004103601,3,4,2008/11/26,2940,42,6,10.0,11,5,26.1,6.0,0,1,817,56.0,2,2000,2,126.2,39.2,461,4,0,0,0,0,0,1,0,800.0
129,2004103601,3,4,2008/10/15,2898,42,6,10.0,11,5,6.7,5.0,1,1,817,56.0,2,1900,3,122.3,39.8,457,9,0,0,0,0,0,0,0,1000.0
130,2004103601,3,4,2008/09/16,2868,44,6,11.0,14,8,4.4,3.0,0,1,426,57.0,2,1200,3,72.2,36.6,448,0,1,0,0,0,0,0,0,138.0
131,2004103601,3,4,2008/08/11,2832,44,5,9.0,9,8,12.8,4.0,0,0,426,56.0,2,1800,3,114.1,39.8,448,-5,1,0,0,0,0,0,0,84.0
132,2004103601,3,4,2008/07/24,2814,42,6,10.0,12,7,2.0,1.0,0,1,817,53.0,2,1400,4,87.2,37.9,453,2,0,0,0,0,0,0,0,85.0
18,2005102945,3,3,2008/12/07,2952,6,6,12.0,11,9,110.5,10.0,0,0,5203,55.0,1,2500,4,155.6,35.6,450,0,0,0,0,0,0,0,0,105.0
19,2005102945,3,3,2008/11/09,2923,36,5,9.0,10,5,19.9,8.0,1,1,0,55.0,2,2000,4,131.1,,450,2,0,0,0,0,0,0,0,150.0
20,2005102945,3,3,2008/10/26,2909,35,4,10.0,12,5,17.8,5.0,0,0,0,55.0,1,2400,1,156.8,,448,1,0,0,0,0,0,0,0,0.0
21,2005102945,3,3,2008/09/23,2875,35,5,10.0,11,10,6.1,4.0,1,1,5203,55.0,1,2400,3,157.4,,447,0,0,0,0,0,0,0,0,150.0
22,2005102945,3,3,2008/09/07,2859,35,5,10.0,12,6,26.5,5.0,0,0,5542,56.0,2,2000,4,131.4,,447,-6,0,0,0,0,0,0,0,25.0
16,2003106669,3,5,2008/11/20,2934,30,6,10.0,14,13,8.2,4.0,1,1,5091,56.0,2,2000,3,130.8,39.7,466,6,0,0,0,0,0,0,0,1000.0
17,2003106669,3,5,2008/11/06,2920,30,6,8.0,12,6,2.4,1.0,0,1,5091,58.0,2,1800,4,117.8,38.9,460,-2,0,0,0,0,0,0,0,12.0
18,2003106669,3,5,2008/10/23,2906,30,6,10.0,11,5,16.2,3.0,0,1,5411,57.0,2,1800,4,118.0,39.3,462,2,0,0,0,0,0,0,0,9.0
19,2003106669,3,5,2008/10/09,2892,34,5,9.0,10,5,28.1,6.0,1,1,5091,53.0,2,2100,3,137.8,38.4,460,2,0,0,0,0,0,0,0,200.0
20,2003106669,3,5,2008/09/25,2877,34,3,10.0,13,12,20.7,7.0,0,0,5411,55.0,2,1600,3,105.8,41.7,458,-2,0,0,0,0,0,0,0,9.0
