,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
5,2016104458,3,3,2019/09/23,6967,43,6,11.0,8,11,1.1,1.0,1,1,1088,55.0,2,1800,3,112.1,36.9,539,1,0,0,0,0,0,1,0,3200.0
6,2016104458,3,3,2019/07/10,6892,44,5,11.0,14,12,1.2,1.0,1,1,1088,56.0,2,2000,3,126.1,37.4,538,-6,1,1,0,0,0,0,0,4500.0
7,2016104458,3,3,2019/05/02,6822,50,6,10.0,12,9,1.1,1.0,1,1,5339,56.0,2,1870,2,117.3,36.6,544,4,0,0,0,0,0,1,0,3000.0
8,2016104458,3,3,2019/03/02,6760,9,6,6.0,11,1,1.6,1.0,1,1,1088,56.0,2,1800,3,112.2,37.0,540,16,0,0,0,0,0,0,0,720.0
9,2016104458,3,2,2018/09/17,6589,9,5,6.0,11,9,1.2,1.0,1,1,1088,54.0,2,1800,4,115.3,38.0,524,0,0,0,0,0,0,0,0,700.0
5,2013106119,3,6,2019/10/14,6989,35,5,11.0,16,13,1.3,1.0,0,1,5339,57.0,2,1600,4,94.7,35.9,526,8,0,0,0,0,1,0,0,630.0
6,2013106119,3,6,2019/05/06,6826,43,6,11.0,11,10,1.9,2.0,1,1,5339,57.0,2,1600,3,100.2,37.7,518,-10,0,0,0,0,1,0,0,6000.0
7,2013106119,3,6,2019/02/17,6744,5,6,11.0,14,3,3.0,2.0,0,1,5339,57.0,2,1600,4,95.6,34.8,528,14,0,0,0,0,1,0,0,4088.8
8,2013106119,3,5,2018/12/29,6694,44,6,10.0,16,13,2.2,1.0,0,1,5339,57.0,2,2000,4,126.0,38.9,514,-11,1,0,0,0,1,0,0,2800.0
9,2013106119,3,5,2018/10/08,6611,35,6,11.0,14,7,1.6,1.0,0,1,5339,57.0,2,1600,4,95.5,35.5,525,-1,0,0,0,0,1,0,0,1035.0
10,2013106119,3,5,2018/06/27,6506,44,6,11.0,15,4,3.4,2.0,1,1,5339,57.0,2,2000,4,124.2,38.7,526,12,1,0,0,0,1,0,0,6000.0
11,2013106119,3,5,2018/05/02,6450,43,3,11.0,12,7,3.2,2.0,1,1,5339,57.0,2,1600,4,99.2,37.0,514,-10,0,0,0,0,1,0,0,6000.0
12,2014104052,3,5,2019/11/03,7009,8,5,11.0,16,16,2.6,1.0,0,0,1088,59.0,2,1800,4,112.8,40.9,520,4,0,0,0,0,0,0,1,0.0
13,2014104052,3,5,2019/06/26,6877,44,6,11.0,14,11,2.0,1.0,0,0,666,57.0,2,2000,2,125.5,38.9,516,-2,1,0,0,0,1,0,0,0.0
14,2014104052,3,5,2019/05/06,6826,43,6,11.0,11,6,1.6,1.0,0,1,666,57.0,2,1600,3,100.4,38.2,518,4,0,0,0,0,1,0,0,2100.0
15,2014104052,3,5,2019/02/17,6744,5,6,11.0,14,6,2.6,1.0,1,1,666,57.0,2,1600,4,95.6,35.4,514,0,0,0,0,0,1,0,0,10310.8
16,2014104052,3,5,2019/01/20,6716,7,5,11.0,13,4,1.5,1.0,1,1,666,56.0,2,1800,4,109.8,35.9,514,-2,0,0,0,0,0,1,0,5599.4
17,2014104052,3,4,2018/11/10,6644,8,6,10.0,9,6,1.1,1.0,1,1,666,57.0,2,1800,3,109.4,35.9,516,-4,0,0,0,0,0,0,0,1839.6
18,2014104052,3,4,2018/10/14,6617,8,6,8.0,13,4,1.5,1.0,1,1,666,57.0,2,1800,4,110.1,36.8,520,4,0,0,0,0,0,0,0,1050.0
10,2015104879,3,4,2019/11/04,7010,42,6,10.0,11,8,1.6,1.0,1,1,1088,57.0,2,2000,2,126.1,37.0,481,11,0,0,0,0,1,0,0,8000.0
11,2015104879,3,4,2019/06/26,6877,44,6,11.0,14,1,3.1,2.0,0,1,1088,57.0,2,2000,2,124.6,37.7,470,-12,1,0,0,0,1,0,0,2100.0
12,2015104879,3,4,2019/05/18,6838,8,5,11.0,16,7,2.5,1.0,1,1,1088,58.0,2,1900,4,118.1,36.5,482,7,0,0,0,0,0,0,1,3657.4
