,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
4,2015104273,3,6,2021/11/03,7753,46,6,10.0,12,3,4.7,2.0,0,1,5212,57.0,2,2100,4,133.2,35.4,462,7,0,0,0,0,1,0,0,2800.0
5,2015104273,3,6,2021/06/30,7625,44,5,11.0,13,8,3.2,1.0,0,0,5212,57.0,2,2000,2,123.8,37.7,455,0,1,0,0,0,1,0,0,350.0
6,2015104273,3,6,2021/01/27,7467,45,5,11.0,10,8,1.9,1.0,0,1,5212,57.0,2,2100,2,135.5,37.4,455,-2,0,0,0,0,1,0,0,2100.0
7,2015104273,3,5,2020/12/29,7438,44,6,10.0,16,7,1.3,1.0,1,1,5212,57.0,2,2000,4,126.9,36.2,457,4,1,0,0,0,1,0,0,8000.0
8,2015104273,3,5,2020/11/03,7381,44,5,10.0,15,1,4.9,2.0,0,1,5212,57.0,2,2000,3,123.0,37.1,453,1,1,0,0,0,1,0,0,2800.0
9,2015104273,3,5,2020/06/24,7247,44,5,11.0,14,11,2.0,1.0,0,1,5212,57.0,2,2000,2,125.7,36.5,452,-8,1,0,0,0,1,0,0,2100.0
10,2015104273,3,5,2020/05/23,7215,8,6,11.0,14,5,5.3,3.0,1,1,1102,59.0,2,1900,4,116.0,35.5,460,9,0,0,0,0,0,0,1,3649.7
5,2014100656,3,7,2021/12/05,7786,7,5,11.0,16,12,18.6,8.0,0,0,1088,57.0,2,1800,4,112.4,38.1,498,4,0,0,0,0,1,0,0,0.0
6,2014100656,3,7,2021/11/07,7757,9,6,11.0,16,11,2.8,1.0,0,0,666,57.0,2,1800,4,111.6,37.5,494,4,0,0,0,0,0,0,1,0.0
7,2014100656,3,7,2021/06/30,7625,44,5,11.0,13,13,10.4,6.0,0,1,5339,57.0,2,2000,2,123.4,37.5,490,-2,1,0,0,0,1,0,0,1400.0
8,2014100656,3,7,2021/03/11,7513,48,6,11.0,12,7,1.3,1.0,1,1,1088,58.0,2,1900,4,120.0,38.0,492,7,0,0,0,0,0,0,1,2200.0
9,2014100656,3,7,2021/02/11,7482,55,6,6.0,12,1,1.7,1.0,1,1,1088,58.0,2,2000,4,125.0,36.4,485,-9,0,0,0,0,0,0,1,2300.0
10,2014100656,3,6,2020/12/06,7415,7,6,11.0,16,5,19.9,5.0,0,0,1122,57.0,2,1800,4,110.5,37.2,494,4,0,0,0,0,1,0,0,0.0
11,2014100656,3,6,2020/11/08,7386,9,6,11.0,10,6,3.4,1.0,1,1,1088,57.0,2,1800,4,109.9,37.3,490,-2,0,0,0,0,0,0,1,3835.7
2,2012104882,2,9,2021/11/23,7773,42,6,10.0,10,5,3.6,2.0,0,0,1093,56.0,2,2000,2,128.2,37.1,477,-7,0,0,0,0,0,1,0,350.0
3,2012104882,2,9,2021/10/02,7721,7,6,11.0,16,11,10.0,5.0,0,1,1093,58.0,2,1900,4,117.5,36.4,484,-4,0,0,0,0,0,0,1,1416.4
4,2012104882,2,9,2021/08/08,7665,2,5,11.0,14,6,8.2,3.0,0,0,1093,56.0,2,1700,4,104.9,37.0,488,-10,0,0,0,0,0,0,1,540.0
5,2012104882,2,9,2021/07/11,7637,10,3,11.0,16,9,4.7,2.0,0,0,1093,56.0,2,1700,2,101.8,35.6,498,18,0,0,0,0,0,0,1,0.0
6,2012104882,2,8,2020/12/29,7438,44,6,10.0,16,9,8.1,3.0,0,1,1093,57.0,2,2000,4,127.0,36.0,480,0,1,0,0,0,1,0,0,1600.0
7,2012104882,2,8,2020/11/25,7403,42,5,10.0,11,2,4.0,2.0,0,1,1093,56.0,2,2000,3,126.0,36.1,480,-8,0,0,0,0,0,1,0,700.0
8,2012104882,2,8,2020/08/09,7294,1,5,11.0,14,8,4.2,2.0,0,1,1093,57.0,2,1700,4,103.7,35.5,488,8,0,0,0,0,0,0,1,1414.6
5,2016100981,3,5,2021/11/03,7753,46,6,10.0,12,7,13.9,6.0,1,1,5299,57.0,2,2100,4,133.1,36.0,460,-1,0,0,0,0,1,0,0,8000.0
6,2016100981,3,5,2021/09/22,7710,46,3,8.0,12,8,3.4,2.0,0,1,5299,54.0,2,2100,1,130.9,36.1,461,-5,0,0,0,0,0,0,1,588.0
7,2016100981,3,5,2021/06/30,7625,44,5,11.0,13,3,19.6,8.0,0,0,5404,57.0,2,2000,2,123.8,37.7,466,-1,1,0,0,0,1,0,0,700.0
8,2016100981,3,5,2021/05/19,7583,44,5,11.0,16,10,2.5,2.0,1,1,5404,57.0,2,2000,2,124.3,37.2,467,-4,1,0,0,0,0,0,0,3200.0
9,2016100981,3,5,2021/05/05,7569,43,4,11.0,12,5,32.1,8.0,0,0,5404,57.0,2,1600,3,100.5,39.1,471,9,0,0,0,0,1,0,0,0.0
10,2016100981,3,5,2021/02/21,7492,5,6,11.0,16,15,120.1,13.0,0,0,5404,57.0,2,1600,4,95.3,35.6,462,-7,0,0,0,0,1,0,0,0.0
11,2016100981,3,5,2021/01/27,7467,45,5,11.0,10,6,16.5,5.0,0,0,5404,57.0,2,2100,2,136.1,37.1,469,1,0,0,0,0,1,0,0,300.0
4,2016102276,3,5,2021/11/07,7757,9,6,11.0,16,6,13.3,6.0,0,1,1163,57.0,2,1800,4,110.8,35.8,498,-6,0,0,0,0,0,0,1,1516.0
5,2016102276,3,5,2021/08/08,7665,2,5,11.0,14,11,29.2,11.0,0,1,1163,58.0,2,1700,4,104.8,37.4,504,-10,0,0,0,0,0,0,1,907.2
6,2016102276,3,5,2021/05/22,7586,7,5,11.0,16,12,12.0,5.0,0,0,732,58.0,2,1900,2,117.5,39.0,514,2,0,0,0,0,0,0,1,0.0
7,2016102276,3,5,2021/04/18,7551,9,6,11.0,16,14,12.3,6.0,0,1,732,58.0,2,1800,2,109.6,37.2,512,2,0,0,0,0,0,0,1,908.2
8,2016102276,3,5,2021/03/11,7513,48,6,11.0,12,10,4.9,2.0,0,1,5339,57.0,2,1900,4,120.9,39.0,510,6,0,0,0,0,0,0,1,396.0
9,2016102276,3,5,2021/01/27,7467,45,5,11.0,10,9,4.7,2.0,0,0,5339,57.0,2,2100,2,136.1,37.8,504,4,0,0,0,0,1,0,0,0.0
10,2016102276,3,4,2020/11/25,7403,42,5,10.0,11,5,2.6,1.0,0,1,1122,57.0,2,2000,3,126.0,36.6,500,-7,0,0,0,0,0,1,0,1225.0
12,2014104259,2,7,2021/12/05,7786,7,5,11.0,16,11,115.4,14.0,0,1,1163,57.0,2,1800,4,110.8,36.8,482,-2,0,0,0,0,1,0,0,2548.6
13,2014104259,2,7,2021/11/07,7757,9,6,11.0,16,5,50.5,10.0,0,1,1126,57.0,2,1800,4,111.2,37.2,484,0,0,0,0,0,0,0,1,958.0
14,2014104259,2,7,2021/10/02,7721,7,6,11.0,16,7,24.9,8.0,0,0,1126,58.0,2,1900,4,119.9,39.9,484,2,0,0,0,0,0,0,1,0.0
15,2014104259,2,7,2021/04/18,7551,9,6,11.0,16,7,8.1,3.0,0,0,1093,57.0,2,1800,2,114.4,42.0,482,-1,0,0,0,0,0,0,1,0.0
16,2014104259,2,7,2021/03/17,7519,43,6,11.0,10,1,3.5,3.0,0,1,5342,56.0,2,2400,4,155.0,39.7,483,-1,0,0,0,0,0,1,0,640.0
17,2014104259,2,7,2021/01/24,7464,7,3,11.0,15,12,15.0,7.0,0,1,1126,57.0,2,1800,1,109.5,37.6,484,-2,0,0,0,0,0,1,0,2230.4
18,2014104259,2,6,2020/12/06,7415,7,6,11.0,16,10,91.1,13.0,0,0,5212,57.0,2,1800,4,111.1,38.4,486,-7,0,0,0,0,1,0,0,0.0
4,2013105053,3,8,2021/11/23,7773,42,6,10.0,10,7,4.8,3.0,0,1,5524,56.0,2,2000,2,127.7,37.1,538,-5,0,0,0,0,0,1,0,1225.0
5,2013105053,3,8,2021/10/20,7739,42,6,11.0,11,10,3.5,1.0,1,1,5524,58.0,2,2000,3,129.0,38.5,543,2,0,0,0,0,0,0,0,1200.0
6,2013105053,3,8,2021/05/19,7583,44,5,11.0,16,3,2.3,1.0,0,1,5524,57.0,2,2000,2,126.0,38.8,541,1,1,0,0,0,0,0,0,640.0
7,2013105053,3,8,2021/04/08,7541,43,5,11.0,8,7,5.7,3.0,0,1,5524,56.0,2,1600,4,98.2,37.2,540,1,0,0,0,0,0,0,0,735.0
8,2013105053,3,8,2021/01/27,7467,45,5,11.0,10,3,35.4,7.0,0,0,5524,57.0,2,2100,2,135.7,37.8,539,0,0,0,0,0,1,0,0,600.0
9,2013105053,3,8,2021/01/03,7443,45,6,10.0,13,10,2.3,1.0,1,1,5524,58.0,2,2100,4,136.6,38.5,539,1,0,0,0,0,0,0,0,2000.0
10,2013105053,3,7,2020/11/25,7403,42,5,10.0,11,7,39.0,8.0,0,0,5524,56.0,2,2000,3,126.1,36.4,538,-2,0,0,0,0,0,1,0,350.0
7,2014106474,3,7,2021/12/05,7786,7,5,11.0,16,3,78.9,13.0,0,0,1154,57.0,2,1800,4,111.0,36.3,534,-1,0,0,0,0,1,0,0,1000.0
8,2014106474,3,7,2021/11/03,7753,46,6,9.0,12,5,12.5,5.0,0,1,5299,57.0,2,1400,4,85.2,35.2,535,6,0,0,0,0,1,0,0,2100.0
9,2014106474,3,7,2021/10/11,7730,35,5,11.0,16,3,5.6,4.0,0,0,1126,57.0,2,1600,1,96.1,36.7,529,-2,0,0,0,0,1,0,0,0.0
10,2014106474,3,7,2021/05/05,7569,43,4,11.0,12,12,11.2,5.0,0,0,1154,57.0,2,1600,3,100.8,40.2,531,-11,0,0,0,0,1,0,0,0.0
11,2014106474,3,7,2021/02/21,7492,5,6,11.0,16,9,6.0,4.0,0,0,1154,57.0,2,1600,4,95.7,35.9,542,8,0,0,0,0,1,0,0,0.0
12,2014106474,3,6,2020/12/06,7415,7,6,11.0,16,8,22.9,6.0,0,0,1154,57.0,2,1800,4,110.9,37.0,534,4,0,0,0,0,1,0,0,0.0
13,2014106474,3,6,2020/11/14,7392,5,6,11.0,16,6,5.1,3.0,1,1,1154,58.0,2,1600,4,95.0,35.4,530,1,0,0,0,0,0,0,1,3858.1
13,2016103957,3,5,2021/08/08,7665,2,5,11.0,14,14,124.9,14.0,0,0,5203,57.0,2,1700,4,106.7,38.7,502,1,0,0,0,0,0,0,1,0.0
14,2016103957,3,5,2021/07/20,7646,35,6,10.0,13,11,5.5,3.0,0,0,5203,57.0,2,2000,4,127.8,39.4,501,-3,0,0,0,0,0,0,1,230.0
15,2016103957,3,5,2021/05/22,7586,7,5,11.0,16,4,145.1,15.0,0,0,5203,57.0,2,1900,2,116.4,37.4,504,-2,0,0,0,0,0,0,1,0.0
16,2016103957,3,5,2021/03/28,7530,6,5,11.0,16,2,58.0,13.0,0,0,1096,56.0,2,1800,3,112.2,37.5,506,-3,0,0,0,0,0,0,1,0.0
17,2016103957,3,5,2021/01/27,7467,45,5,11.0,10,7,36.1,8.0,0,0,1095,57.0,2,2100,2,137.8,39.0,509,6,0,0,0,0,1,0,0,0.0
18,2016103957,3,4,2020/12/29,7438,44,6,10.0,16,2,68.9,10.0,0,0,5386,57.0,2,2000,4,127.3,35.9,503,1,1,0,0,0,1,0,0,0.0
19,2016103957,3,4,2020/11/25,7403,42,5,10.0,11,9,4.5,4.0,0,0,5386,57.0,2,2000,3,126.6,37.2,502,5,0,0,0,0,0,1,0,0.0
4,2012104314,2,9,2021/09/29,7717,43,5,11.0,11,8,10.5,4.0,0,0,5420,57.0,2,1800,4,114.0,39.3,461,5,0,0,0,0,0,1,0,160.0
5,2012104314,2,9,2021/06/30,7625,44,5,11.0,13,11,134.2,10.0,0,1,5420,57.0,2,2000,2,123.3,36.9,456,4,1,0,0,0,1,0,0,2450.0
6,2012104314,2,9,2021/02/17,7488,44,6,11.0,15,15,5.6,3.0,0,0,5420,56.0,2,2600,3,168.7,40.3,452,5,1,0,0,0,0,0,0,0.0
7,2012104314,2,8,2020/12/29,7438,44,6,10.0,16,8,35.8,8.0,0,0,5380,57.0,2,2000,4,127.8,36.6,447,1,1,0,0,0,1,0,0,0.0
