,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
1,2016105047,2,7,2023/09/28,8460,47,5,10.0,9,10,13.8,5.0,1,1,655866,57.0,2,1900,4,123.5,37.8,484,-11,0,0,0,0,0,0,0,400.0
2,2016105047,2,7,2023/08/27,8428,46,6,12.0,8,7,15.8,4.0,0,0,655866,57.0,2,2000,4,129.7,37.5,495,9,0,0,0,0,0,0,0,56.0
3,2016105047,2,7,2023/08/14,8415,46,6,12.0,8,5,2.7,2.0,1,1,655866,56.0,2,1700,4,109.4,36.7,486,5,0,0,0,0,0,0,0,150.0
4,2016105047,2,7,2023/06/04,8343,46,6,12.0,12,11,5.6,2.0,0,0,5399,57.0,2,2100,3,139.3,42.4,481,-1,0,0,0,0,0,0,0,0.0
5,2016105047,2,7,2023/05/07,8315,46,3,11.0,9,2,4.0,2.0,0,1,655866,57.0,2,2000,1,129.4,39.1,482,-5,0,0,0,0,0,0,0,84.0
6,2016105047,2,7,2023/04/25,8302,46,5,11.0,10,4,1.5,1.0,1,1,655866,56.0,2,1700,4,108.2,37.7,487,-7,0,0,0,0,0,0,0,100.0
7,2016105047,2,7,2023/04/11,8288,46,6,11.0,10,5,9.2,3.0,0,1,655866,56.0,2,1400,4,88.8,37.6,494,6,0,0,0,0,0,0,0,16.0
1,2019101623,3,4,2023/06/28,8367,44,5,11.0,12,5,7.6,5.0,0,0,666,57.0,2,2000,4,123.4,38.1,529,-5,1,0,0,0,1,0,0,0.0
2,2019101623,3,4,2023/05/20,8328,8,6,11.0,16,5,8.0,4.0,0,0,666,59.0,2,1900,3,121.3,40.4,534,12,0,0,0,0,0,0,1,0.0
3,2019101623,3,4,2023/02/01,8216,45,6,11.0,10,6,11.7,4.0,0,0,666,56.0,2,2100,4,139.3,42.7,522,6,0,0,0,0,1,0,0,0.0
4,2019101623,3,3,2022/12/29,8182,44,6,9.0,14,2,7.1,4.0,0,1,666,55.0,2,2000,4,125.3,37.7,516,0,1,0,0,0,1,0,0,3500.0
5,2019101623,3,3,2022/12/04,8157,7,6,11.0,16,9,14.3,5.0,0,0,666,56.0,2,1800,4,112.6,37.1,516,-13,0,0,0,0,1,0,0,0.0
