,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
10,2012105931,3,7,2019/10/02,6977,44,6,11.0,15,12,38.6,7.0,0,1,5404,56.0,2,1200,4,71.5,36.2,516,-8,0,0,0,0,0,1,0,1225.0
11,2012105931,3,7,2019/09/12,6956,42,5,11.0,11,7,50.1,6.0,0,0,5404,55.0,2,1400,3,86.5,37.8,524,6,0,0,0,0,0,0,1,0.0
12,2012105931,3,7,2019/08/12,6925,35,5,10.0,14,2,54.1,6.0,0,0,5404,55.0,2,1200,4,69.9,35.2,518,0,0,0,0,0,0,0,1,115.0
13,2012105931,3,7,2019/07/18,6900,30,5,11.0,11,4,1.2,1.0,1,1,5389,57.0,2,1200,2,72.7,38.9,518,-1,0,0,0,0,0,0,0,100.0
14,2012105931,3,7,2019/05/29,6849,42,5,11.0,12,4,40.8,6.0,0,0,5199,56.0,2,1400,4,87.9,39.0,519,13,0,0,0,0,0,1,0,0.0
9,2015110078,2,4,2019/10/02,6977,44,6,11.0,15,2,1.5,1.0,1,1,1164,56.0,2,1200,4,70.7,36.4,488,7,0,0,0,0,0,1,0,3500.0
10,2015110078,2,4,2019/08/12,6925,35,5,10.0,14,9,1.8,1.0,0,1,1164,55.0,2,1200,4,69.6,35.3,481,-3,0,0,0,0,0,0,1,322.0
11,2015110078,2,4,2019/04/10,6799,44,3,11.0,16,6,2.7,2.0,0,1,1164,56.0,2,1200,1,71.8,36.4,484,6,0,0,0,0,0,0,1,945.0
12,2015110078,2,4,2019/02/17,6744,5,6,11.0,14,11,9.4,4.0,0,0,1164,57.0,2,1600,4,96.6,35.2,478,0,0,0,0,0,1,0,0,1000.0
13,2015110078,2,4,2019/01/27,6723,5,6,11.0,16,11,4.3,2.0,1,1,5575,56.0,2,1400,4,83.5,35.4,478,-2,0,0,0,0,0,0,1,3857.4
11,2013105883,3,6,2019/10/16,6991,44,5,11.0,16,1,11.6,4.0,0,0,817,57.0,2,1600,2,100.8,38.4,468,4,0,0,0,0,0,0,0,125.0
12,2013105883,3,6,2019/08/22,6935,45,5,11.0,14,8,10.1,5.0,0,1,817,57.0,2,1600,4,100.9,38.3,464,0,0,0,0,0,0,0,0,490.0
13,2013105883,3,6,2019/07/31,6913,44,6,11.0,15,10,11.2,6.0,0,0,5299,55.0,2,1600,3,100.5,39.0,464,6,0,0,0,0,0,0,0,0.0
14,2013105883,3,6,2019/05/15,6835,45,6,11.0,14,6,65.2,8.0,0,1,5380,57.0,2,1600,4,100.5,38.7,458,-5,0,0,0,0,0,0,0,490.0
15,2013105883,3,6,2019/03/06,6764,44,5,11.0,16,12,25.0,8.0,0,0,5299,57.0,2,1400,1,87.4,38.9,463,-7,0,0,0,0,0,0,0,0.0
17,2012102452,3,7,2019/10/14,6989,35,5,11.0,16,15,139.9,8.0,0,0,5492,57.0,2,1600,4,95.9,38.1,505,1,0,0,0,0,1,0,0,0.0
18,2012102452,3,7,2019/09/12,6956,42,5,11.0,11,6,36.7,5.0,0,0,5590,56.0,2,1400,3,86.0,37.5,504,-4,0,0,0,0,0,0,1,210.0
19,2012102452,3,7,2019/08/12,6925,35,5,10.0,14,5,19.5,4.0,0,0,1126,56.0,2,1200,4,70.2,35.5,508,-4,0,0,0,0,0,0,1,0.0
20,2012102452,3,7,2019/06/06,6857,30,5,11.0,16,3,7.7,4.0,0,1,5492,57.0,2,1200,3,72.1,37.0,512,4,0,0,0,0,0,0,1,330.0
21,2012102452,3,7,2019/05/12,6832,8,6,11.0,14,1,8.6,3.0,1,1,1126,55.0,2,1400,4,82.9,36.5,508,-2,0,0,0,0,0,0,0,2330.8
9,2012102358,3,7,2019/09/12,6956,42,5,11.0,11,2,3.8,3.0,1,1,5199,55.0,2,1400,3,85.3,37.8,498,3,0,0,0,0,0,0,1,2100.0
10,2012102358,3,7,2019/07/25,6907,42,5,11.0,11,3,6.5,3.0,1,1,655741,58.0,2,1400,4,85.7,38.1,495,1,0,0,0,0,0,0,0,1200.0
11,2012102358,3,7,2019/07/17,6899,43,5,11.0,14,6,5.9,3.0,1,1,5199,57.0,2,1000,2,59.0,36.7,494,-3,0,0,0,0,0,0,0,2100.0
12,2012102358,3,7,2019/06/13,6864,45,6,11.0,7,5,5.9,4.0,0,1,655741,59.0,2,900,3,53.7,36.6,497,-10,0,0,0,0,0,0,0,125.0
13,2012102358,3,7,2019/03/06,6764,44,5,11.0,16,10,18.7,7.0,0,0,5199,59.0,2,1400,1,90.0,43.2,507,13,0,0,0,0,0,0,0,0.0
5,2015110096,3,4,2019/09/29,6973,6,5,11.0,16,13,15.7,6.0,0,0,1014,57.0,1,1200,4,67.4,34.1,502,6,0,0,0,0,1,0,0,1700.0
6,2015110096,3,4,2019/09/08,6952,9,6,11.0,13,12,4.7,2.0,0,0,1014,58.0,1,1200,4,67.7,34.3,496,4,0,0,0,0,0,1,0,0.0
7,2015110096,3,4,2019/03/24,6782,7,6,11.0,18,3,7.8,3.0,1,1,1014,57.0,1,1200,4,67.3,33.6,492,-4,0,0,0,0,1,0,0,11378.0
8,2015110096,3,4,2019/02/24,6751,9,6,11.0,18,16,4.0,1.0,0,0,1014,56.0,1,1400,4,80.8,34.8,496,4,0,0,0,0,0,0,1,0.0
9,2015110096,3,3,2018/12/22,6687,9,5,11.0,16,2,6.0,2.0,0,1,5473,56.0,1,1400,3,81.2,34.8,492,2,0,0,0,0,0,1,0,2732.4
1,2012104108,3,7,2019/10/02,6977,44,6,11.0,15,4,45.6,8.0,0,0,5299,56.0,2,1200,4,71.8,37.1,480,2,0,0,0,0,0,1,0,350.0
2,2012104108,3,7,2019/08/12,6925,35,5,10.0,14,3,100.8,8.0,0,0,5299,54.0,2,1200,4,69.9,34.9,478,-18,0,0,0,0,0,0,1,0.0
3,2012104108,3,7,2019/07/04,6886,30,5,12.0,12,7,2.2,1.0,0,1,5299,56.0,2,1000,1,58.7,35.2,496,6,0,0,0,0,0,0,0,60.0
4,2012104108,3,7,2019/06/06,6857,30,5,11.0,16,10,11.8,5.0,0,0,5342,56.0,2,1200,3,72.5,37.6,490,1,0,0,0,0,0,0,1,220.0
5,2012104108,3,7,2019/04/10,6799,44,3,11.0,16,4,38.5,6.0,0,0,5386,56.0,2,1200,1,71.8,36.8,489,1,0,0,0,0,0,0,1,270.0
11,2012101489,3,7,2019/08/18,6931,4,6,11.0,15,7,9.0,4.0,0,1,1117,55.0,2,1200,4,70.8,35.9,510,-6,0,0,0,0,0,0,0,554.9
12,2012101489,3,7,2019/05/19,6839,4,6,11.0,16,2,28.6,10.0,0,0,1164,56.0,1,1000,4,55.3,32.8,516,2,0,0,0,0,0,0,0,0.0
13,2012101489,3,7,2019/04/14,6803,6,5,10.0,16,16,11.8,4.0,0,1,1075,56.0,2,1200,4,71.1,35.6,514,4,0,0,0,0,0,0,0,930.4
14,2012101489,3,7,2019/03/09,6767,9,6,11.0,16,13,65.2,15.0,0,0,1125,56.0,2,1400,3,84.0,37.7,510,-6,0,0,0,0,0,0,0,0.0
15,2012101489,3,7,2019/01/14,6710,6,6,10.0,15,11,121.7,13.0,0,1,1075,56.0,2,1200,4,70.3,36.0,516,6,0,0,0,0,0,0,0,889.2
14,2010103248,3,9,2019/10/08,6983,30,5,12.0,11,8,2.3,1.0,0,1,5578,57.0,2,1200,1,71.0,36.0,508,-2,0,0,0,0,0,0,0,100.0
15,2010103248,3,9,2019/09/11,6955,30,5,12.0,10,6,2.3,1.0,1,1,5578,58.0,2,1200,2,72.7,36.5,510,2,0,0,0,0,0,0,0,100.0
16,2010103248,3,9,2019/08/12,6925,35,5,10.0,14,13,169.2,9.0,0,0,5578,54.0,2,1200,4,70.0,35.0,508,2,0,0,0,0,0,0,1,0.0
17,2010103248,3,9,2019/07/04,6886,30,5,12.0,12,2,4.6,3.0,1,1,5578,56.0,2,1000,1,58.6,34.5,506,-2,0,0,0,0,0,0,0,300.0
18,2010103248,3,9,2019/06/06,6857,30,5,11.0,16,16,185.3,8.0,0,1,5578,56.0,2,1200,3,72.1,36.7,508,-4,0,0,0,0,0,0,1,440.0
1,2016103137,3,3,2019/09/29,6973,6,5,11.0,16,16,26.5,7.0,0,0,666,55.0,1,1200,4,69.3,36.3,482,0,0,0,0,0,1,0,0,0.0
2,2016103137,3,3,2019/09/08,6952,9,6,11.0,13,6,17.8,7.0,0,1,1018,54.0,1,1200,4,67.2,34.0,482,0,0,0,0,0,0,1,0,2426.8
3,2016103137,3,3,2019/08/18,6931,10,5,11.0,18,8,7.0,4.0,0,0,666,54.0,1,1200,4,69.1,34.8,482,0,0,0,0,0,0,0,1,0.0
4,2016103137,3,3,2019/05/05,6825,5,6,11.0,18,13,29.7,6.0,0,0,666,57.0,1,1600,4,93.3,34.6,482,2,0,0,0,0,1,0,0,0.0
5,2016103137,3,3,2019/04/14,6803,6,5,11.0,18,3,25.9,5.0,0,0,666,57.0,1,2000,4,119.7,35.8,480,-4,0,0,0,0,1,0,0,0.0
23,2014100377,3,5,2019/10/02,6977,44,6,11.0,15,11,11.2,4.0,0,1,1126,57.0,2,1200,4,71.6,37.1,535,10,0,0,0,0,0,1,0,700.0
24,2014100377,3,5,2019/09/12,6956,42,5,11.0,11,3,5.7,4.0,0,0,1126,58.0,2,1400,3,86.2,37.9,525,-7,0,0,0,0,0,0,1,105.0
25,2014100377,3,5,2019/07/07,6889,7,6,11.0,15,1,9.6,5.0,0,0,1126,57.0,2,1400,3,82.4,38.0,532,4,0,0,0,0,0,0,1,0.0
26,2014100377,3,5,2019/05/29,6849,42,5,11.0,12,3,2.4,1.0,0,1,1032,57.0,2,1400,4,85.8,36.9,528,-13,0,0,0,0,0,1,0,1085.0
27,2014100377,3,5,2019/03/21,6779,54,5,5.0,11,3,1.7,1.0,1,1,1126,58.0,2,1400,1,86.6,37.5,541,-1,0,0,0,0,0,0,1,2100.0
14,2014101417,3,5,2019/10/16,6991,44,5,11.0,16,14,97.4,10.0,0,0,5553,57.0,2,1600,2,102.4,40.8,501,-2,0,0,0,0,0,0,0,0.0
15,2014101417,3,5,2019/08/28,6941,44,5,11.0,16,12,39.8,9.0,0,0,5171,57.0,2,1200,2,73.2,37.5,503,-13,0,0,0,0,0,0,0,0.0
16,2014101417,3,5,2019/07/07,6889,2,5,11.0,14,14,52.3,11.0,0,0,1095,56.0,2,1700,4,106.3,39.3,516,10,0,0,0,0,0,0,0,0.0
17,2014101417,3,5,2019/06/22,6873,2,3,11.0,14,14,25.2,9.0,0,0,1085,57.0,2,1700,3,105.6,39.4,506,-2,0,0,0,0,0,0,0,0.0
18,2014101417,3,5,2019/05/25,6845,5,6,11.0,16,12,42.1,11.0,0,0,1085,57.0,2,1400,4,84.3,36.1,508,-2,0,0,0,0,0,0,0,0.0
