,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
1,2010105860,3,8,2018/10/10,6613,44,6,11.0,15,14,11.8,4.0,0,1,5339,57.0,2,1200,4,72.3,37.8,536,-12,1,0,0,0,0,1,0,700.0
2,2010105860,3,8,2018/05/30,6478,42,3,11.0,11,11,3.7,2.0,0,0,666,57.0,2,1400,4,87.1,38.9,548,0,0,0,0,0,0,1,0,310.0
3,2010105860,3,8,2018/04/18,6435,44,6,11.0,16,3,11.7,6.0,1,1,666,57.0,2,1200,1,71.8,37.4,548,-1,1,0,0,0,0,0,1,2700.0
4,2010105860,3,8,2018/03/20,6406,54,3,5.0,11,10,4.1,3.0,0,0,666,58.0,2,1400,1,88.3,40.5,549,-5,0,0,0,0,0,0,1,105.0
5,2010105860,3,7,2017/12/27,6320,50,6,10.0,9,12,5.7,4.0,1,1,666,58.0,2,1400,3,88.4,38.9,554,12,0,0,0,0,0,0,1,2100.0
6,2010105860,3,7,2017/12/10,6303,6,6,11.0,16,2,50.6,13.0,0,0,1122,58.0,2,1200,4,71.7,37.1,542,-2,0,0,0,0,0,0,1,0.0
7,2010105860,3,7,2017/08/16,6185,55,5,8.0,11,1,6.0,4.0,0,0,422,57.5,2,1400,1,87.5,37.3,532,-8,0,0,0,0,0,0,1,84.0
10,2014110060,3,4,2018/10/10,6613,44,6,11.0,15,5,1.5,1.0,0,0,666,56.0,2,1200,4,72.5,38.1,526,18,1,0,0,0,0,1,0,350.0
11,2014110060,3,4,2018/07/08,6518,7,6,11.0,14,13,7.8,5.0,1,1,666,56.0,2,1400,1,80.3,35.6,508,-8,0,0,0,0,0,0,1,3649.0
12,2014110060,3,4,2018/06/24,6503,9,6,10.0,16,3,2.4,1.0,1,1,666,57.0,2,1200,2,70.7,36.5,516,0,0,0,0,0,0,0,0,1853.6
13,2014110060,3,4,2018/02/17,6372,8,5,10.0,15,8,5.8,2.0,1,1,666,54.0,2,1200,3,71.0,36.2,518,2,0,0,0,0,0,0,0,1852.9
14,2014110060,3,4,2018/01/21,6345,6,6,10.0,15,7,12.1,6.0,1,1,666,56.0,2,1200,3,70.9,37.5,516,-4,0,0,0,0,0,0,0,1535.7
15,2014110060,3,4,2018/01/08,6332,8,3,12.0,16,4,18.1,6.0,0,1,1166,53.0,2,1200,3,71.8,37.5,520,-2,0,0,0,0,0,0,0,420.0
16,2014110060,3,3,2017/12/16,6309,6,6,8.0,16,7,32.6,11.0,0,0,1122,56.0,2,1200,4,71.5,37.3,522,8,0,0,0,0,0,0,0,160.0
8,2010100960,3,8,2018/10/10,6613,44,6,11.0,15,4,4.1,2.0,1,1,5342,57.0,2,1200,4,72.1,37.4,524,-1,1,0,0,0,0,1,0,3500.0
9,2010100960,3,8,2018/08/29,6570,44,5,11.0,14,12,1.8,1.0,1,1,5342,59.0,2,1200,2,71.8,36.9,525,-1,1,0,0,0,0,0,0,1300.0
10,2010100960,3,8,2018/07/16,6526,42,6,11.0,10,7,1.5,1.0,1,1,5342,58.0,2,1400,4,86.1,37.7,526,-1,0,0,0,0,0,0,0,1200.0
11,2010100960,3,8,2018/05/30,6478,42,3,11.0,11,1,8.5,5.0,0,1,5269,57.0,2,1400,4,86.2,37.2,527,2,0,0,0,0,0,1,0,1085.0
12,2010100960,3,8,2018/04/18,6435,44,6,11.0,16,7,7.7,4.0,0,1,5269,57.0,2,1200,1,72.1,37.3,525,-6,1,0,0,0,0,0,1,945.0
13,2010100960,3,8,2018/03/07,6393,44,5,11.0,15,10,3.9,2.0,0,1,5269,59.0,2,1400,2,86.9,38.5,531,-2,1,0,0,0,0,0,0,260.0
14,2010100960,3,8,2018/01/04,6328,45,6,11.0,13,3,1.6,1.0,0,1,5269,58.0,2,1600,4,102.6,38.4,533,-9,0,0,0,0,0,0,0,175.0
7,2012110091,3,6,2018/05/02,6450,43,3,11.0,12,4,6.1,4.0,0,0,1018,57.0,2,1600,4,100.4,38.5,524,-6,0,0,0,0,1,0,0,0.0
8,2012110091,3,6,2018/03/31,6417,9,6,11.0,16,12,6.4,3.0,1,1,1018,58.5,2,1400,4,83.4,36.5,530,-8,0,0,0,0,0,0,0,2234.3
9,2012110091,3,6,2018/02/25,6380,9,5,11.0,18,14,16.4,6.0,0,0,1115,57.0,1,1400,4,80.8,34.1,538,6,0,0,0,0,0,0,1,0.0
10,2012110091,3,5,2017/12/23,6316,9,6,11.0,18,13,67.8,13.0,0,0,5203,57.0,1,1400,4,80.1,33.7,532,6,0,0,0,0,0,1,0,0.0
11,2012110091,3,5,2017/11/11,6273,5,6,11.0,16,14,8.2,4.0,0,0,660,58.0,2,1600,4,96.3,35.8,526,-1,0,0,0,0,0,0,1,0.0
12,2012110091,3,5,2017/09/27,6227,43,5,11.0,11,9,3.0,2.0,0,0,5386,57.0,2,1800,3,113.1,37.6,527,8,0,0,0,0,0,1,0,320.0
13,2012110091,3,5,2017/05/31,6107,42,5,11.0,12,2,2.1,2.0,0,1,5339,58.0,2,1400,4,86.5,36.7,519,1,0,0,0,0,0,1,0,1085.0
7,2012102095,1,6,2018/09/30,6602,6,3,11.0,16,10,11.8,4.0,0,0,5203,55.0,1,1200,3,68.6,34.3,490,-8,0,0,0,0,1,0,0,1100.0
8,2012102095,1,6,2018/08/26,6567,1,6,11.0,16,6,4.1,2.0,0,0,5203,55.0,1,1200,3,70.2,35.5,498,2,0,0,0,0,0,0,1,205.0
9,2012102095,1,6,2018/05/13,6461,5,3,11.0,18,1,11.7,6.0,0,0,5203,55.0,1,1600,3,92.7,33.9,496,-4,0,0,0,0,1,0,0,0.0
10,2012102095,1,6,2018/03/25,6411,7,6,11.0,18,8,6.3,3.0,0,1,5203,55.0,1,1200,4,68.5,34.6,500,8,0,0,0,0,1,0,0,4508.0
11,2012102095,1,6,2018/02/18,6373,5,6,11.0,16,13,51.0,10.0,0,0,732,55.0,2,1600,4,96.7,37.0,492,4,0,0,0,0,1,0,0,1000.0
