,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
14,2016104163,3,4,2020/12/29,7438,44,6,10.0,16,14,38.3,9.0,0,1,5549,57.0,2,2000,4,126.9,36.5,541,-3,1,0,0,0,1,0,0,2800.0
15,2016104163,3,4,2020/12/09,7418,44,5,11.0,16,7,9.9,4.0,1,1,5549,57.0,2,1800,4,112.1,37.7,544,10,1,0,0,0,0,0,0,2200.0
16,2016104163,3,4,2020/11/12,7390,45,5,11.0,14,5,2.9,1.0,1,1,5549,57.0,2,2000,4,129.1,38.7,534,-3,0,0,0,0,0,0,0,500.0
17,2016104163,3,4,2020/07/29,7283,44,5,11.0,13,3,5.0,3.0,0,0,5549,57.0,2,1600,3,100.5,39.6,537,-12,1,0,0,0,0,0,0,0.0
18,2016104163,3,4,2020/06/17,7240,43,6,11.0,12,4,3.4,1.0,1,1,5549,54.0,2,1600,4,99.2,38.1,549,5,0,0,0,0,0,0,0,1200.0
19,2016104163,3,4,2020/05/13,7205,45,6,11.0,13,13,1.7,1.0,0,0,5549,55.0,2,1600,4,101.1,40.2,544,-4,0,0,0,0,0,0,0,70.0
20,2016104163,3,4,2020/04/14,7175,45,6,11.0,11,4,1.2,1.0,1,1,5549,57.0,2,1600,2,101.2,39.4,548,6,0,0,0,0,0,0,0,600.0
7,2015104273,3,5,2020/12/29,7438,44,6,10.0,16,7,1.3,1.0,1,1,5212,57.0,2,2000,4,126.9,36.2,457,4,1,0,0,0,1,0,0,8000.0
8,2015104273,3,5,2020/11/03,7381,44,5,10.0,15,1,4.9,2.0,0,1,5212,57.0,2,2000,3,123.0,37.1,453,1,1,0,0,0,1,0,0,2800.0
9,2015104273,3,5,2020/06/24,7247,44,5,11.0,14,11,2.0,1.0,0,1,5212,57.0,2,2000,2,125.7,36.5,452,-8,1,0,0,0,1,0,0,2100.0
