,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
11,2010106548,3,6,2016/05/05,5709,43,6,11.0,12,1,6.3,3.0,1,1,666,57.0,2,1600,3,99.2,37.2,532,0,0,0,0,0,1,0,0,6000.0
12,2010106548,3,6,2016/02/21,5632,5,6,11.0,16,3,7.9,4.0,0,0,666,57.0,2,1600,2,94.6,35.6,532,0,0,0,0,0,1,0,0,0.0
13,2010106548,3,5,2015/12/29,5578,44,6,10.0,14,11,2.7,2.0,0,0,666,57.0,2,2000,4,124.5,39.3,532,-2,1,0,0,0,1,0,0,800.0
14,2010106548,3,5,2015/12/06,5555,7,5,11.0,16,7,3.3,1.0,0,0,666,57.0,2,1800,4,111.2,38.7,534,10,0,0,0,0,1,0,0,0.0
15,2010106548,3,5,2015/11/03,5521,44,6,10.0,16,15,6.2,3.0,1,1,666,57.0,2,2000,1,124.4,37.0,524,0,1,0,0,0,1,0,0,8000.0
16,2010106548,3,5,2015/10/07,5494,43,6,11.0,12,3,1.6,1.0,0,1,666,58.0,2,1800,4,112.2,40.1,524,-12,0,0,0,0,0,1,0,640.0
17,2010106548,3,5,2015/02/22,5261,5,5,11.0,16,4,2.1,1.0,1,1,666,57.0,2,1600,4,96.3,36.2,536,-2,0,0,0,0,1,0,0,9744.4
33,2012104314,3,4,2016/05/05,5709,43,6,11.0,12,9,2.8,2.0,0,0,5339,57.0,2,1600,3,100.2,37.5,447,-7,0,0,0,0,1,0,0,600.0
34,2012104314,3,4,2016/02/21,5632,5,6,11.0,16,7,2.4,1.0,0,1,5339,57.0,2,1600,2,94.2,34.7,454,2,0,0,0,0,1,0,0,3998.4
35,2012104314,3,3,2015/12/06,5555,7,5,11.0,16,1,3.8,3.0,0,1,5339,56.0,2,1800,4,110.6,36.7,452,0,0,0,0,0,1,0,0,3898.4
36,2012104314,3,3,2015/11/14,5532,5,3,11.0,14,10,3.9,2.0,1,1,5339,58.0,2,1600,3,94.7,35.2,452,4,0,0,0,0,0,0,1,3750.4
37,2012104314,3,3,2015/07/08,5402,44,3,11.0,13,9,2.8,2.0,1,1,5339,56.0,2,2000,1,125.6,37.3,448,0,1,1,0,0,0,0,0,4500.0
38,2012104314,3,3,2015/06/21,5384,5,4,11.0,16,10,4.6,2.0,1,1,5339,56.0,2,1600,3,95.9,35.5,448,0,0,0,0,1,0,0,0,3456.7
39,2012104314,3,3,2015/05/17,5349,5,6,10.0,12,4,7.7,5.0,1,1,5339,56.0,2,1600,4,96.4,34.7,448,0,0,0,0,0,0,0,0,1826.6
34,2010102446,2,6,2016/05/05,5709,43,6,11.0,12,3,6.8,4.0,0,0,1096,57.0,2,1600,3,100.3,37.8,461,-11,0,0,0,0,1,0,0,300.0
35,2010102446,2,6,2016/01/27,5607,45,6,11.0,13,1,2.1,2.0,0,1,1096,57.0,2,2100,4,134.1,37.2,472,-1,0,0,0,0,1,0,0,2100.0
36,2010102446,2,5,2015/12/29,5578,44,6,10.0,14,5,3.9,3.0,1,1,1096,57.0,2,2000,4,123.0,36.7,473,1,1,0,0,0,1,0,0,8000.0
37,2010102446,2,5,2015/12/06,5555,7,5,11.0,16,2,12.6,5.0,0,1,1096,57.0,2,1800,4,110.7,36.6,472,-2,0,0,0,0,1,0,0,2449.2
38,2010102446,2,5,2015/11/03,5521,44,6,10.0,16,5,8.8,4.0,0,1,1096,57.0,2,2000,1,124.9,36.7,474,3,1,0,0,0,1,0,0,2800.0
39,2010102446,2,5,2015/10/07,5494,43,6,11.0,12,7,9.5,3.0,1,1,1096,56.0,2,1800,4,110.2,37.2,471,-5,0,0,0,0,0,1,0,3200.0
40,2010102446,2,5,2015/07/19,5413,7,5,11.0,14,10,7.2,5.0,1,1,1096,56.0,2,1800,3,111.6,37.2,476,0,0,0,0,0,0,0,0,2129.4
3,2009100921,3,7,2016/01/27,5607,45,6,11.0,13,12,2.1,1.0,1,1,732,57.0,2,2100,4,134.1,37.2,507,5,0,0,0,0,1,0,0,6000.0
4,2009100921,3,6,2015/12/29,5578,44,6,10.0,14,13,2.3,1.0,0,1,732,57.0,2,2000,4,123.3,38.1,502,-8,1,0,0,0,1,0,0,2800.0
5,2009100921,3,6,2015/12/06,5555,7,5,11.0,16,13,3.7,2.0,0,0,732,57.0,2,1800,4,110.7,38.1,510,8,0,0,0,0,1,0,0,940.0
6,2009100921,3,6,2015/11/03,5521,44,6,10.0,16,10,1.4,1.0,0,1,732,57.0,2,2000,1,125.0,37.4,502,0,1,0,0,0,1,0,0,1600.0
7,2009100921,3,6,2015/06/24,5387,44,6,11.0,12,1,1.5,1.0,1,1,732,57.0,2,2000,4,122.7,38.6,502,0,1,0,0,0,1,0,0,6000.0
8,2009100921,3,6,2015/01/28,5236,45,6,11.0,12,5,1.0,1.0,1,1,732,57.0,2,2100,2,136.9,39.4,507,6,0,0,0,0,1,0,0,6000.0
9,2009100921,3,5,2014/12/29,5206,44,5,10.0,16,6,1.7,1.0,1,1,732,57.0,2,2000,2,123.0,36.9,501,-7,1,0,0,0,1,0,0,7000.0
16,2009105650,2,7,2016/05/18,5722,44,6,11.0,14,14,4.3,3.0,0,1,5299,58.0,2,2000,2,128.4,38.8,542,-2,1,0,0,0,0,0,0,440.0
17,2009105650,2,7,2016/03/09,5651,43,3,11.0,12,10,25.4,5.0,0,1,5299,56.0,2,2400,1,157.6,38.9,544,4,0,0,0,0,0,1,0,640.0
18,2009105650,2,7,2016/02/10,5621,44,6,11.0,16,2,5.8,4.0,0,1,5299,58.0,2,2600,4,170.6,39.9,540,-2,1,0,0,0,0,0,0,770.0
19,2009105650,2,6,2015/12/29,5578,44,6,10.0,14,12,207.1,11.0,0,0,5299,57.0,2,2000,4,125.8,38.0,542,1,1,0,0,0,1,0,0,0.0
20,2009105650,2,6,2015/12/02,5551,42,5,10.0,11,8,6.5,3.0,0,0,5299,56.0,2,2000,4,128.2,38.2,541,2,0,0,0,0,0,1,0,0.0
21,2009105650,2,6,2015/11/03,5521,44,6,10.0,16,4,46.6,6.0,0,0,5386,57.0,2,2000,1,125.6,37.7,539,-4,1,0,0,0,1,0,0,0.0
22,2009105650,2,6,2015/09/16,5472,44,3,11.0,16,6,2.1,1.0,0,1,5342,59.0,2,2400,4,155.0,39.4,543,-2,1,0,0,0,0,0,0,770.0
24,2011104994,3,5,2016/05/21,5725,8,6,11.0,15,14,2.2,1.0,1,1,1037,58.0,2,1900,4,116.2,37.2,524,-2,0,0,0,0,0,0,1,3657.4
25,2011104994,3,5,2016/04/16,5689,9,6,11.0,16,16,5.3,3.0,0,1,1037,58.0,2,1800,4,110.0,37.4,526,2,0,0,0,0,0,0,1,1416.2
26,2011104994,3,5,2016/02/21,5632,5,6,11.0,16,4,18.1,7.0,0,1,1037,57.0,2,1600,2,94.2,34.9,524,-2,0,0,0,0,1,0,0,2449.2
27,2011104994,3,5,2016/01/24,5604,7,6,11.0,12,6,6.7,4.0,1,1,1037,56.0,2,1800,4,111.9,36.7,526,4,0,0,0,0,0,1,0,5586.8
28,2011104994,3,4,2015/12/20,5569,9,6,10.0,11,6,5.4,3.0,0,1,1037,56.0,2,2000,4,124.0,36.7,522,-4,0,0,0,0,0,0,0,846.8
29,2011104994,3,4,2015/11/08,5526,8,4,11.0,11,7,29.0,8.0,0,0,1037,56.0,2,1800,1,108.3,36.6,526,6,0,0,0,0,0,0,1,560.0
30,2011104994,3,4,2015/05/23,5355,8,5,11.0,16,4,33.0,9.0,0,0,1037,56.0,2,1900,4,118.9,40.1,520,12,0,0,0,0,0,0,1,0.0
5,2009102179,3,7,2016/05/25,5729,30,6,12.0,10,8,2.8,3.0,0,0,5286,57.0,2,2000,4,132.5,44.5,538,-2,0,0,0,0,0,0,0,0.0
