,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,9,エアピエール,牡7,55,武豊,2:10.1,,---,4,458(-2),[東] 田村康仁
1,2,5,5,クーリンガー,牡4,57,和田竜二,2:10.6,2.1/2,---,3,513(-5),[西] 岩元市三
2,3,1,1,ミツアキサイレンス,牡6,57,川原正一,2:10.7,3/4,---,2,498(-6),[地] 粟津豊彦
3,4,2,2,フジヤマデュラブ,牡6,55,小牧太,2:11.4,4,---,8,441(-15),[地] 曽和直栄
4,5,7,10,カシノオウサマ,牡4,56,北村欣也,2:11.6,1,---,6,506(-7),[地] 山田勇
5,6,8,11,カイトヒルウインド,牡4,56,横山典弘,2:11.8,3/4,---,1,506(-12),[東] 国枝栄
6,7,6,8,コスモクロス,牡6,55,下原理,2:12.0,1,---,10,464(-14),[地] 寺嶋正勝
7,8,8,12,ハクシュカッサイ,牡6,55,真島正徳,2:12.3,1.1/2,---,7,482(-6),[地] 真島元徳
8,9,3,3,エイシンドーサン,牡9,55,徳留康豊,2:12.6,1.1/2,---,12,449(-7),[地] 竹内昭利
9,10,4,4,キングカーペンター,牡5,56,山口勲,2:13.5,5,---,11,495(+1),[地] 鮫島勉
10,11,6,7,シャコーダイヤ,牡6,55,鮫島克也,2:14.8,7,---,9,474(+10),[地] 九日俊光
11,12,5,6,トウカイパルサー,牡7,56,武幸四郎,2:15.1,1.1/2,---,5,495(-3),[西] 松元茂樹
