,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,グレンツェント,牡9,57,本田正重,1:38.1,,5.5,2.0,477(+2),[地] 藤田輝信
1,2,6,10,リコーシーウルフ,牡5,55,酒井忍,1:39.0,4,6.4,3.0,497(-4),[地] 荒山勝徳
2,3,8,13,コパノジャッキー,牡7,57,今野忠成,1:39.3,1.1/2,16.0,8.0,488(+1),[地] 荒山勝徳
3,4,8,14,メイショウワザシ,牡7,57,和田譲治,1:39.3,クビ,11.3,7.0,538(-3),[地] 宗形竹見
4,5,5,7,アディラート,牡8,57,真島大輔,1:39.4,1/2,6.9,4.0,520(+12),[地] 森下淳平
5,6,5,8,クロスケ,牡7,56,仲原大生,1:39.4,クビ,124.6,13.0,464(-2),[地] 柏木一夫
6,7,4,5,オンザロックス,牡9,57,岡村健司,1:39.5,1/2,82.6,10.0,488(-12),[地] 高橋清顕
7,8,6,9,パストーソ,牡4,57,石崎駿,1:39.6,1/2,9.7,6.0,489(-1),[地] 月岡健二
8,9,4,6,チサット,牡4,55,笹川翼,1:39.6,クビ,3.1,1.0,512(-5),[地] 佐宗応和
9,10,2,2,マースインディ,牡7,57,藤本現暉,1:40.0,2,60.0,9.0,475(-3),[地] 阪本一栄
10,11,3,4,タイガーインディ,牡5,55,西啓太,1:40.0,アタマ,6.9,5.0,470(-3),[地] 松浦裕之
11,12,7,12,ミヤジフランガン,牡7,55,安藤洋一,1:40.8,4,106.3,12.0,472(-1),[地] 三坂盛雄
12,13,1,1,ノーブルマーズ,牡9,57,達城龍次,1:46.7,大,104.4,11.0,524(+4),[地] 佐野謙二
13,取,7,11,フィールドセンス,牡8,57,澤田龍哉,,,---,,計不,[地] 山下貴之
