,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2004/02/13,名古屋,晴,10,梅見月杯(G),,11,1,1,,4.0,2,丸野勝虎,57.0,ダ1800,良,,1:57.3,1.0,,,,,520(+22),,,マルカセンリョウ,112.0
1,2003/09/24,浦和,雨,10,さきたま杯(G3),,10,1,1,,5.0,5,丸野勝虎,58.0,ダ1400,稍,,1:26.3,0.8,,7-8-8-7,35.3-37.7,37.6,498(-6),,,ノボトゥルー,150.0
2,2003/06/22,3阪神2,曇,11,プロキオンS(G3),,16,1,1,85.8,10.0,7,丸野勝虎,58.0,ダ1400,良,,1:23.8,0.8,,5-6,33.4-37.5,37.4,504(-2),,,スターリングローズ,
3,2003/05/25,2中京2,曇,11,東海S(G2),,15,2,4,52.5,9.0,1,丸野勝虎,57.0,ダ2300,良,,2:26.5,-0.2,,2-2-2-3,32.1-37.0,36.8,506(-1),,,(プリエミネンス),5917.6
4,2003/04/29,笠松,曇,10,オグリキャップ記念(G2),,10,8,9,,5.0,5,河端秀俊,56.0,ダ2500,良,,2:42.5,3.0,,5,,,507(-5),,,カネツフルーヴ,240.0
5,2003/04/10,名古屋,晴,10,東海桜花賞(G),,11,3,3,,5.0,3,河端秀俊,57.0,ダ1400,稍,,1:26.8,1.1,,,,,512(+12),,,マルカセンリョウ,65.0
6,2003/01/29,川崎,晴,10,川崎記念指定交流(G1),,9,4,4,,5.0,5,河端秀俊,56.0,ダ2100,稍,,2:15.7,0.9,,4-4-3-3,29.2-42.1,41.3,500(-5),,,カネツフルーヴ,300.0
7,2002/11/26,笠松,晴,10,全日本サラブレッドカ(G3),,10,7,7,,3.0,4,吉田稔,56.0,ダ1400,稍,,1:26.3,2.0,,6-5-4,,,505(-1),,,ヤマカツスズラン,360.0
8,2002/10/30,名古屋,晴,11,東海菊花賞(G),,11,5,6,,1.0,2,河端秀俊,56.0,ダ1900,良,,2:00.8,0.1,,,,,506(+4),,,ブラウンシャトレー,210.0
9,2002/10/14,金沢,晴,9,白山大賞典(G3),,10,8,10,,5.0,4,河端秀俊,57.0,ダ2100,良,,2:16.4,1.9,,3-2-1-2,,,502(+2),,,スナークレイアース,330.0
10,2002/09/04,浦和,曇,9,さきたま杯『指定交流(G3),,11,7,8,,6.0,2,河端秀俊,55.0,ダ1400,良,,1:26.3,0.2,,4-4-6-4,35.5-37.7,37.8,500(-6),,,レイズスズラン,1050.0
