,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,6,ウインサウザー,牡3,56,安藤勝己,1:23.8,,2.8,1,462(-4),[西] 山内研二
1,2,2,4,オフィサー,牡3,56,吉原寛人,1:24.0,1,6.4,3,490(-8),[西] 森秀行
2,3,1,1,ヤマニンデュエル,牡3,53,生野賢一,1:24.5,3,21.1,8,454(+2),[西] 浅見秀一
3,4,4,7,リーピンスイーパー,牡3,56,石橋守,1:24.7,1.1/2,9.8,5,444(0),[西] 長浜博之
4,5,7,14,オッティミスタ,牡3,56,太宰啓介,1:25.0,1.3/4,13.5,6,518(-8),[西] 太宰義人
5,6,1,2,カネトシインプレス,牡3,53,上野翔,1:25.3,1.3/4,300.8,16,458(-2),[西] 西浦勝一
6,7,2,3,マルカフレンチ,牡3,53,佐久間寛,1:25.4,1/2,23.1,9,518(+10),[西] 瀬戸口勉
7,8,7,13,メジロドルフィン,牡3,56,渡辺薫彦,1:25.5,1/2,71.1,13,454(-6),[西] 田島良保
8,9,6,11,イズミデヒア,牡3,56,和田竜二,1:25.8,2,170.4,15,506(+6),[西] 古川平
9,10,4,8,パワーラン,牡3,56,池添謙一,1:25.9,クビ,29.9,11,484(-2),[西] 鶴留明雄
10,11,5,10,コスモジェントル,牡3,56,小池隆生,1:25.9,アタマ,78.6,14,460(-4),[東] 畠山吉宏
11,12,6,12,ホーマンブラヴォー,牡3,56,福永祐一,1:26.1,1,8.4,4,478(+2),[西] 安田隆行
12,13,3,5,タガノコマンダー,牡3,56,飯田祐史,1:26.6,3,6.1,2,478(+2),[西] 飯田明弘
13,14,8,16,リキアイナスノオー,牡3,56,松永幹夫,1:27.4,5,15.8,7,458(-4),[西] 清水出美
14,15,5,9,マルイチクエスト,牡3,56,幸英明,1:27.9,3,27.0,10,492(0),[西] 湯窪幸雄
15,16,8,15,クンダリーニ,牡3,56,佐藤哲三,1:31.4,大,41.1,12,518(-4),[西] 安達昭夫
